Scale	'-25.000000	'-24.700000	'-24.400000	'-24.100000	'-23.800000	'-23.500000	'-23.200000	'-22.900000	'-22.600000	'-22.300000	'-22.000000	'-21.700000	'-21.400000	'-21.100000	'-20.800000	'-20.500000	'-20.200000	'-19.900000	'-19.600000	'-19.300000	'-19.000000	'-18.700000	'-18.400000	'-18.100000	'-17.800000	'-17.500000	'-17.200000	'-16.900000	'-16.600000	'-16.300000	'-16.000000	'-15.700000	'-15.400000	'-15.100000	'-14.800000	'-14.500000	'-14.200000	'-13.900000	'-13.600000	'-13.300000	'-13.000000	'-12.700000	'-12.400000	'-12.100000	'-11.800000	'-11.500000	'-11.200000	'-10.900000	'-10.600000	'-10.300000	'-10.000000	'-9.700000	'-9.400000	'-9.100000	'-8.800000	'-8.500000	'-8.200000	'-7.900000	'-7.600000	'-7.300000	'-7.000000	'-6.700000	'-6.400000	'-6.100000	'-5.800000	'-5.500000	'-5.200000	'-4.900000	'-4.600000	'-4.300000	'-4.000000	'-3.700000	'-3.400000	'-3.100000	'-2.800000	'-2.500000	'-2.200000	'-1.900000	'-1.600000	'-1.300000	'-1.000000	'-0.700000	'-0.400000	'-0.100000	'0.200000	'0.500000	'0.800000	'1.100000	'1.400000	'1.700000	'2.000000	'2.300000	'2.600000	'2.900000	'3.200000	'3.500000	'3.800000	'4.100000	'4.400000	'4.700000	'5.000000	'5.300000	'5.600000	'5.900000	'6.200000	'6.500000	'6.800000	'7.100000	'7.400000	'7.700000	'8.000000	'8.300000	'8.600000	'8.900000	'9.200000	'9.500000	'9.800000	'10.100000	'10.400000	'10.700000	'11.000000	'11.300000	'11.600000	'11.900000	'12.200000	'12.500000	'12.800000	'13.100000	'13.400000	'13.700000	'14.000000	'14.300000	'14.600000	'14.900000	'15.200000	'15.500000	'15.800000	'16.100000	'16.400000	'16.700000	'17.000000	'17.300000	'17.600000	'17.900000	'18.200000	'18.500000	'18.800000	'19.100000	'19.400000	'19.700000	'20.000000	'20.300000	'20.600000	'20.900000	'21.200000	'21.500000	'21.800000	'22.100000	'22.400000	'22.700000	'23.000000	'23.300000	'23.600000	'23.900000	'24.200000	'24.500000	'24.800000	
-0.602060	25.503257	25.197218	24.891179	24.585140	24.279101	23.973062	23.667023	23.360984	23.054944	22.748905	22.442866	22.136827	21.830788	21.524749	21.218710	20.912671	20.606632	20.300593	19.994554	19.688515	19.382475	19.076436	18.770397	18.464358	18.158319	17.852280	17.546241	17.240202	16.934163	16.628124	16.322085	16.016046	15.710007	15.403968	15.097929	14.791890	14.485851	14.179812	13.873773	13.567735	13.261696	12.955658	12.649620	12.343583	12.037546	11.731509	11.425474	11.119440	10.813407	10.507376	10.201349	9.895324	9.589305	9.283293	8.977290	8.671298	8.365323	8.059369	7.753445	7.447560	7.141728	6.835968	6.530306	6.224776	5.919425	5.614318	5.309544	5.005224	4.701520	4.398658	4.096940	3.796772	3.498696	3.203422	2.911861	2.625147	2.344635	2.071855	1.808402	1.555755	1.315064	1.086939	0.871332	0.667553	0.474412	0.290434	0.114071	-0.642035	-0.221456	-0.382950	-0.541458	-0.697634	-0.851978	-1.004867	-1.156584	-1.307345	-1.457311	-1.606605	-1.755326	-1.903548	-2.051332	-2.198729	-2.345779	-2.492518	-2.638976	-2.785180	-2.931153	-3.076916	-3.222488	-3.367886	-3.513125	-3.658219	-3.803181	-3.948023	-4.092755	-4.237386	-4.381927	-4.526384	-4.670766	-4.815078	-4.959328	-5.103520	-5.247660	-5.391752	-5.535801	-5.679811	-5.823785	-5.967727	-6.111639	-6.255523	-6.399383	-6.543221	-6.687038	-6.830837	-6.974619	-7.118386	-7.262138	-7.405878	-7.549606	-7.693323	-7.837031	-7.980730	-8.124421	-8.268105	-8.411782	-8.555453	-8.699118	-8.842778	-8.986433	-9.130084	-9.273731	-9.417375	-9.561015	-9.704652	-9.848287	-9.991918	-10.135548	-10.279175	-10.422800	-10.566423	-10.710045	-10.853664	-10.997283	-11.140899	-11.284515	-11.428129	-11.571742	
-0.903090	86.931861	85.888679	84.845496	83.802314	82.759132	81.715949	80.672767	79.629585	78.586402	77.543220	76.500038	75.456855	74.413673	73.370491	72.327308	71.284126	70.240944	69.197761	68.154579	67.111397	66.068214	65.025032	63.981850	62.938667	61.895485	60.852303	59.809120	58.765938	57.722756	56.679573	55.636391	54.593209	53.550026	52.506844	51.463662	50.420479	49.377297	48.334115	47.290932	46.247750	45.204568	44.161385	43.118203	42.075021	41.031838	39.988656	38.945474	37.902291	36.859109	35.815927	34.772744	33.729562	32.686380	31.643197	30.600015	29.556833	28.513650	27.470468	26.427286	25.384103	24.340921	23.297739	22.254556	21.211374	20.168192	19.125009	18.081827	17.038645	15.995462	14.952280	13.909098	12.865915	11.822733	10.779551	9.736369	8.693187	7.650010	6.606857	5.563848	4.521700	3.484680	2.476946	1.602720	1.031571	0.692525	0.422918	0.167786	-1.013534	-0.332856	-0.580659	-0.827086	-1.072258	-1.316287	-1.559277	-1.801326	-2.042523	-2.282951	-2.522685	-2.761793	-3.000338	-3.238375	-3.475954	-3.713119	-3.949911	-4.186364	-4.422509	-4.658376	-4.893989	-5.129369	-5.364537	-5.599510	-5.834303	-6.068929	-6.303402	-6.537732	-6.771929	-7.006002	-7.239958	-7.473805	-7.707548	-7.941194	-8.174748	-8.408214	-8.641597	-8.874900	-9.108128	-9.341283	-9.574368	-9.807386	-10.040340	-10.273232	-10.506065	-10.738839	-10.971557	-11.204222	-11.436833	-11.669394	-11.901905	-12.134369	-12.366785	-12.599155	-12.831482	-13.063764	-13.296005	-13.528204	-13.760362	-13.992481	-14.224561	-14.456604	-14.688609	-14.920578	-15.152511	-15.384409	-15.616273	-15.848103	-16.079900	-16.311664	-16.543397	-16.775098	-17.006768	-17.238408	-17.470018	-17.701598	-17.933150	-18.164673	-18.396168	-18.627636	
-1.204120	86.931861	85.888679	84.845496	83.802314	82.759132	81.715949	80.672767	79.629585	78.586402	77.543220	76.500038	75.456855	74.413673	73.370491	72.327308	71.284126	70.240944	69.197761	68.154579	67.111397	66.068214	65.025032	63.981850	62.938667	61.895485	60.852303	59.809120	58.765938	57.722756	56.679573	55.636391	54.593209	53.550026	52.506844	51.463662	50.420479	49.377297	48.334115	47.290932	46.247750	45.204568	44.161385	43.118203	42.075021	41.031838	39.988656	38.945474	37.902291	36.859109	35.815927	34.772744	33.729562	32.686380	31.643197	30.600015	29.556833	28.513650	27.470468	26.427286	25.384103	24.340921	23.297739	22.254556	21.211374	20.168192	19.125009	18.081827	17.038645	15.995462	14.952280	13.909098	12.865916	11.822733	10.779552	9.736373	8.693207	7.650089	6.607186	5.565233	4.527553	3.508918	2.565852	1.821411	1.313306	0.923676	0.569685	0.226303	-1.461718	-0.448847	-0.783106	-1.115840	-1.447361	-1.777900	-2.107627	-2.436670	-2.765124	-3.093061	-3.420533	-3.747579	-4.074231	-4.400511	-4.726437	-5.052023	-5.377281	-5.702221	-6.026850	-6.351177	-6.675206	-6.998945	-7.322399	-7.645573	-7.968473	-8.291102	-8.613467	-8.935571	-9.257420	-9.579019	-9.900371	-10.221481	-10.542354	-10.862995	-11.183408	-11.503597	-11.823567	-12.143322	-12.462866	-12.782204	-13.101340	-13.420277	-13.739021	-14.057576	-14.375944	-14.694131	-15.012140	-15.329975	-15.647640	-15.965139	-16.282475	-16.599652	-16.916674	-17.233544	-17.550266	-17.866843	-18.183279	-18.499576	-18.815739	-19.131770	-19.447673	-19.763450	-20.079105	-20.394640	-20.710059	-21.025364	-21.340559	-21.655646	-21.970627	-22.285505	-22.600283	-22.914964	-23.229550	-23.544042	-23.858445	-24.172759	-24.486987	-24.801132	-25.115195	-25.429179	
-1.505150	123.530034	122.047673	120.565313	119.082953	117.600592	116.118232	114.635871	113.153511	111.671151	110.188790	108.706430	107.224069	105.741709	104.259348	102.776988	101.294628	99.812267	98.329907	96.847546	95.365186	93.882826	92.400465	90.918105	89.435744	87.953384	86.471024	84.988663	83.506303	82.023942	80.541582	79.059222	77.576861	76.094501	74.612140	73.129780	71.647420	70.165059	68.682699	67.200338	65.717978	64.235618	62.753257	61.270897	59.788536	58.306176	56.823816	55.341455	53.859095	52.376734	50.894374	49.412013	47.929653	46.447293	44.964932	43.482572	42.000211	40.517851	39.035491	37.553130	36.070770	34.588409	33.106049	31.623689	30.141328	28.658968	27.176608	25.694248	24.211889	22.729530	21.247175	19.764824	18.282486	16.800172	15.317914	13.835777	12.353905	10.872622	9.392652	7.915640	6.445414	4.992005	3.591875	2.399407	1.642050	1.145786	0.708532	0.282342	-1.949749	-0.562606	-0.983177	-1.402692	-1.821210	-2.238777	-2.655440	-3.071240	-3.486219	-3.900419	-4.313876	-4.726629	-5.138711	-5.550157	-5.960997	-6.371260	-6.780975	-7.190169	-7.598864	-8.007085	-8.414852	-8.822187	-9.229108	-9.635632	-10.041778	-10.447559	-10.852991	-11.258087	-11.662862	-12.067326	-12.471492	-12.875370	-13.278972	-13.682306	-14.085382	-14.488209	-14.890796	-15.293150	-15.695280	-16.097192	-16.498894	-16.900393	-17.301695	-17.702805	-18.103732	-18.504479	-18.905053	-19.305458	-19.705701	-20.105786	-20.505719	-20.905502	-21.305142	-21.704642	-22.104007	-22.503240	-22.902347	-23.301329	-23.700192	-24.098938	-24.497572	-24.896096	-25.294513	-25.692828	-26.091042	-26.489159	-26.887181	-27.285112	-27.682954	-28.080709	-28.478380	-28.875970	-29.273480	-29.670914	-30.068272	-30.465558	-30.862773	-31.259920	-31.657000	-32.054014	
-1.806180	145.162569	143.420619	141.678668	139.936717	138.194766	136.452815	134.710864	132.968914	131.226963	129.485012	127.743061	126.001110	124.259159	122.517209	120.775258	119.033307	117.291356	115.549405	113.807454	112.065504	110.323553	108.581602	106.839651	105.097700	103.355749	101.613799	99.871848	98.129897	96.387946	94.645995	92.904044	91.162094	89.420143	87.678192	85.936241	84.194290	82.452339	80.710389	78.968438	77.226487	75.484536	73.742585	72.000634	70.258684	68.516733	66.774782	65.032831	63.290880	61.548929	59.806979	58.065028	56.323077	54.581126	52.839175	51.097224	49.355274	47.613323	45.871372	44.129421	42.387470	40.645520	38.903569	37.161619	35.419669	33.677720	31.935773	30.193828	28.451889	26.709958	24.968045	23.226161	21.484333	19.742606	18.001060	16.259847	14.519235	12.779719	11.042199	9.308360	7.581523	5.869769	4.207319	2.794111	1.949819	1.380375	0.856584	0.341476	-2.523281	-0.680054	-1.188087	-1.694660	-2.199923	-2.703989	-3.206951	-3.708884	-4.209854	-4.709916	-5.209118	-5.707501	-6.205103	-6.701958	-7.198094	-7.693540	-8.188321	-8.682459	-9.175976	-9.668891	-10.161224	-10.652991	-11.144209	-11.634894	-12.125061	-12.614724	-13.103898	-13.592595	-14.080828	-14.568609	-15.055952	-15.542867	-16.029365	-16.515458	-17.001157	-17.486471	-17.971412	-18.455989	-18.940213	-19.424091	-19.907635	-20.390853	-20.873753	-21.356345	-21.838638	-22.320638	-22.802355	-23.283797	-23.764970	-24.245884	-24.726544	-25.206958	-25.687133	-26.167077	-26.646794	-27.126293	-27.605579	-28.084658	-28.563536	-29.042220	-29.520714	-29.999024	-30.477156	-30.955114	-31.432904	-31.910531	-32.387998	-32.865312	-33.342475	-33.819494	-34.296371	-34.773111	-35.249718	-35.726196	-36.202548	-36.678778	-37.154889	-37.630886	-38.106770	-38.582546	
-2.107210	145.162569	143.420619	141.678668	139.936717	138.194766	136.452815	134.710864	132.968914	131.226963	129.485012	127.743061	126.001110	124.259159	122.517209	120.775258	119.033307	117.291356	115.549405	113.807454	112.065504	110.323553	108.581602	106.839651	105.097700	103.355749	101.613799	99.871848	98.129897	96.387946	94.645995	92.904044	91.162094	89.420143	87.678192	85.936241	84.194290	82.452339	80.710389	78.968438	77.226487	75.484536	73.742585	72.000634	70.258684	68.516733	66.774782	65.032831	63.290880	61.548929	59.806979	58.065028	56.323077	54.581126	52.839175	51.097224	49.355274	47.613323	45.871372	44.129421	42.387470	40.645520	38.903569	37.161619	35.419669	33.677720	31.935773	30.193828	28.451889	26.709958	24.968045	23.226161	21.484333	19.742606	18.001060	16.259847	14.519236	12.779724	11.042228	9.308535	7.582681	5.878281	4.269060	3.034667	2.252739	1.613626	1.002409	0.399520	-3.154574	-0.795171	-1.388852	-1.980555	-2.570449	-3.158657	-3.745277	-4.330388	-4.914065	-5.496371	-6.077366	-6.657105	-7.235640	-7.813020	-8.389293	-8.964503	-9.538694	-10.111907	-10.684184	-11.255564	-11.826085	-12.395782	-12.964692	-13.532849	-14.100284	-14.667030	-15.233116	-15.798572	-16.363423	-16.927698	-17.491419	-18.054612	-18.617298	-19.179499	-19.741234	-20.302524	-20.863385	-21.423836	-21.983891	-22.543567	-23.102877	-23.661835	-24.220454	-24.778746	-25.336722	-25.894394	-26.451770	-27.008862	-27.565678	-28.122226	-28.678515	-29.234553	-29.790346	-30.345903	-30.901229	-31.456331	-32.011215	-32.565886	-33.120351	-33.674614	-34.228681	-34.782556	-35.336244	-35.889750	-36.443077	-36.996230	-37.549213	-38.102030	-38.654684	-39.207180	-39.759520	-40.311708	-40.863747	-41.415641	-41.967392	-42.519004	-43.070480	-43.621822	-44.173033	-44.724116	
-2.408240	145.162569	143.420619	141.678668	139.936717	138.194766	136.452815	134.710864	132.968914	131.226963	129.485012	127.743061	126.001110	124.259159	122.517209	120.775258	119.033307	117.291356	115.549405	113.807455	112.065504	110.323553	108.581602	106.839652	105.097701	103.355750	101.613800	99.871849	98.129899	96.387948	94.645998	92.904048	91.162098	89.420148	87.678199	85.936249	84.194301	82.452352	80.710405	78.968458	77.226512	75.484567	73.742624	72.000683	70.258744	68.516808	66.774876	65.032948	63.291026	61.549111	59.807205	58.065310	56.323428	54.581564	52.839721	51.097904	49.356121	47.614378	45.872687	44.131060	42.389511	40.648062	38.906735	37.165561	35.424577	33.683829	31.943373	30.203280	28.463637	26.724551	24.986158	23.248621	21.512149	19.777005	18.043526	16.312166	14.583558	12.858655	11.139037	9.427693	7.731681	6.074996	4.559177	3.406415	2.575886	1.849360	1.148822	0.457704	-3.861671	-0.910191	-1.589136	-2.265399	-2.939263	-3.610943	-4.280606	-4.948394	-5.614426	-6.278810	-6.941638	-7.602996	-8.262963	-8.921611	-9.579007	-10.235213	-10.890289	-11.544290	-12.197267	-12.849269	-13.500344	-14.150532	-14.799877	-15.448416	-16.096186	-16.743220	-17.389553	-18.035213	-18.680230	-19.324632	-19.968443	-20.611689	-21.254392	-21.896574	-22.538256	-23.179457	-23.820196	-24.460490	-25.100357	-25.739811	-26.378868	-27.017542	-27.655847	-28.293796	-28.931401	-29.568674	-30.205627	-30.842269	-31.478613	-32.114666	-32.750440	-33.385943	-34.021183	-34.656170	-35.290910	-35.925413	-36.559684	-37.193733	-37.827564	-38.461186	-39.094604	-39.727824	-40.360853	-40.993697	-41.626360	-42.258848	-42.891166	-43.523320	-44.155314	-44.787153	-45.418841	-46.050382	-46.681782	-47.313043	-47.944170	-48.575167	-49.206037	-49.836785	-50.467412	-51.097924	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

