Scale	'-25.000000	'-24.700000	'-24.400000	'-24.100000	'-23.800000	'-23.500000	'-23.200000	'-22.900000	'-22.600000	'-22.300000	'-22.000000	'-21.700000	'-21.400000	'-21.100000	'-20.800000	'-20.500000	'-20.200000	'-19.900000	'-19.600000	'-19.300000	'-19.000000	'-18.700000	'-18.400000	'-18.100000	'-17.800000	'-17.500000	'-17.200000	'-16.900000	'-16.600000	'-16.300000	'-16.000000	'-15.700000	'-15.400000	'-15.100000	'-14.800000	'-14.500000	'-14.200000	'-13.900000	'-13.600000	'-13.300000	'-13.000000	'-12.700000	'-12.400000	'-12.100000	'-11.800000	'-11.500000	'-11.200000	'-10.900000	'-10.600000	'-10.300000	'-10.000000	'-9.700000	'-9.400000	'-9.100000	'-8.800000	'-8.500000	'-8.200000	'-7.900000	'-7.600000	'-7.300000	'-7.000000	'-6.700000	'-6.400000	'-6.100000	'-5.800000	'-5.500000	'-5.200000	'-4.900000	'-4.600000	'-4.300000	'-4.000000	'-3.700000	'-3.400000	'-3.100000	'-2.800000	'-2.500000	'-2.200000	'-1.900000	'-1.600000	'-1.300000	'-1.000000	'-0.700000	'-0.400000	'-0.100000	'0.200000	'0.500000	'0.800000	'1.100000	'1.400000	'1.700000	'2.000000	'2.300000	'2.600000	'2.900000	'3.200000	'3.500000	'3.800000	'4.100000	'4.400000	'4.700000	'5.000000	'5.300000	'5.600000	'5.900000	'6.200000	'6.500000	'6.800000	'7.100000	'7.400000	'7.700000	'8.000000	'8.300000	'8.600000	'8.900000	'9.200000	'9.500000	'9.800000	'10.100000	'10.400000	'10.700000	'11.000000	'11.300000	'11.600000	'11.900000	'12.200000	'12.500000	'12.800000	'13.100000	'13.400000	'13.700000	'14.000000	'14.300000	'14.600000	'14.900000	'15.200000	'15.500000	'15.800000	'16.100000	'16.400000	'16.700000	'17.000000	'17.300000	'17.600000	'17.900000	'18.200000	'18.500000	'18.800000	'19.100000	'19.400000	'19.700000	'20.000000	'20.300000	'20.600000	'20.900000	'21.200000	'21.500000	'21.800000	'22.100000	'22.400000	'22.700000	'23.000000	'23.300000	'23.600000	'23.900000	'24.200000	'24.500000	'24.800000	
-0.602060	16.878281	16.676584	16.474920	16.273289	16.071694	15.870136	15.668617	15.467139	15.265703	15.064313	14.862971	14.661678	14.460437	14.259252	14.058124	13.857056	13.656053	13.455116	13.254249	13.053457	12.852741	12.652107	12.451558	12.251099	12.050734	11.850468	11.650305	11.450251	11.250311	11.050491	10.850796	10.651232	10.451807	10.252525	10.053395	9.854423	9.655617	9.456984	9.258532	9.060270	8.862205	8.664347	8.466704	8.269285	8.072100	7.875159	7.678471	7.482046	7.285895	7.090027	6.894454	6.699185	6.504231	6.309602	6.115310	5.921364	5.727775	5.534553	5.341708	5.149249	4.957187	4.765529	4.574285	4.383463	4.193070	4.003114	3.813601	3.624537	3.435928	3.247777	3.060088	2.872866	2.686111	2.499825	2.314009	2.128663	1.943785	1.759375	1.575429	1.391944	1.208916	1.026341	0.844213	0.662526	0.481273	0.300447	0.120041	-0.688534	-0.239544	-0.418740	-0.597551	-0.775987	-0.954055	-1.131767	-1.309131	-1.486159	-1.662859	-1.839241	-2.015316	-2.191093	-2.366582	-2.541792	-2.716732	-2.891413	-3.065842	-3.240029	-3.413982	-3.587709	-3.761219	-3.934521	-4.107620	-4.280525	-4.453243	-4.625781	-4.798145	-4.970343	-5.142379	-5.314261	-5.485994	-5.657583	-5.829034	-6.000351	-6.171540	-6.342606	-6.513552	-6.684384	-6.855105	-7.025718	-7.196229	-7.366640	-7.536956	-7.707178	-7.877311	-8.047358	-8.217320	-8.387202	-8.557006	-8.726734	-8.896388	-9.065972	-9.235487	-9.404936	-9.574320	-9.743641	-9.912902	-10.082104	-10.251249	-10.420338	-10.589374	-10.758357	-10.927289	-11.096172	-11.265007	-11.433795	-11.602537	-11.771236	-11.939891	-12.108504	-12.277075	-12.445608	-12.614101	-12.782556	-12.950974	-13.119356	-13.287703	-13.456015	-13.624294	
-0.903090	25.324113	25.025008	24.725937	24.426902	24.127903	23.828942	23.530019	23.231136	22.932294	22.633495	22.334739	22.036028	21.737365	21.438749	21.140183	20.841669	20.543208	20.244802	19.946453	19.648163	19.349934	19.051768	18.753669	18.455637	18.157676	17.859789	17.561977	17.264245	16.966595	16.669032	16.371557	16.074175	15.776890	15.479707	15.182629	14.885661	14.588808	14.292075	13.995469	13.698995	13.402659	13.106467	12.810428	12.514549	12.218838	11.923303	11.627953	11.332799	11.037851	10.743120	10.448617	10.154356	9.860349	9.566611	9.273157	8.980004	8.687168	8.394667	8.102521	7.810750	7.519376	7.228422	6.937911	6.647870	6.358324	6.069302	5.780832	5.492946	5.205675	4.919051	4.633109	4.347883	4.063409	3.779723	3.496861	3.214860	2.933757	2.653589	2.374391	2.096198	1.819044	1.542960	1.267976	0.994120	0.721417	0.449889	0.179553	-1.101753	-0.357482	-0.624163	-0.889614	-1.153835	-1.416831	-1.678610	-1.939185	-2.198572	-2.456788	-2.713858	-2.969805	-3.224657	-3.478444	-3.731196	-3.982947	-4.233730	-4.483581	-4.732533	-4.980623	-5.227885	-5.474356	-5.720069	-5.965059	-6.209359	-6.453003	-6.696021	-6.938445	-7.180303	-7.421626	-7.662439	-7.902771	-8.142645	-8.382086	-8.621117	-8.859760	-9.098036	-9.335965	-9.573566	-9.810856	-10.047853	-10.284573	-10.521032	-10.757242	-10.993220	-11.228977	-11.464525	-11.699877	-11.935043	-12.170034	-12.404860	-12.639530	-12.874052	-13.108435	-13.342687	-13.576814	-13.810826	-14.044726	-14.278523	-14.512221	-14.745827	-14.979345	-15.212781	-15.446138	-15.679423	-15.912637	-16.145787	-16.378874	-16.611903	-16.844877	-17.077800	-17.310673	-17.543500	-17.776283	-18.009025	-18.241728	-18.474394	-18.707026	-18.939625	-19.172193	
-1.204120	34.264591	33.855332	33.446137	33.037011	32.627955	32.218973	31.810070	31.401247	30.992508	30.583859	30.175302	29.766842	29.358483	28.950231	28.542089	28.134063	27.726158	27.318380	26.910734	26.503227	26.095866	25.688656	25.281604	24.874719	24.468008	24.061478	23.655139	23.248998	22.843066	22.437352	22.031865	21.626617	21.221618	20.816881	20.412416	20.008237	19.604357	19.200790	18.797549	18.394649	17.992107	17.589938	17.188160	16.786789	16.385844	15.985343	15.585306	15.185753	14.786705	14.388183	13.990208	13.592804	13.195993	12.799799	12.404246	12.009358	11.615159	11.221675	10.828930	10.436949	10.045758	9.655382	9.265846	8.877174	8.489392	8.102524	7.716594	7.331627	6.947647	6.564679	6.182746	5.801875	5.422090	5.043420	4.665891	4.289535	3.914385	3.540475	3.167845	2.796538	2.426602	2.058092	1.691066	1.325589	0.961734	0.599579	0.239210	-1.571297	-0.475805	-0.830257	-1.182538	-1.532548	-1.880193	-2.225382	-2.568037	-2.908091	-3.245494	-3.580218	-3.912251	-4.241608	-4.568324	-4.892456	-5.214084	-5.533305	-5.850229	-6.164983	-6.477699	-6.788515	-7.097572	-7.405010	-7.710967	-8.015575	-8.318959	-8.621238	-8.922522	-9.222914	-9.522506	-9.821385	-10.119628	-10.417304	-10.714477	-11.011202	-11.307531	-11.603507	-11.899170	-12.194557	-12.489698	-12.784621	-13.079351	-13.373909	-13.668315	-13.962586	-14.256737	-14.550782	-14.844731	-15.138596	-15.432386	-15.726108	-16.019771	-16.313380	-16.606942	-16.900461	-17.193942	-17.487388	-17.780805	-18.074193	-18.367557	-18.660899	-18.954221	-19.247526	-19.540814	-19.834088	-20.127348	-20.420597	-20.713835	-21.007064	-21.300284	-21.593497	-21.886702	-22.179901	-22.473094	-22.766281	-23.059464	-23.352643	-23.645818	-23.938989	-24.232157	
-1.505150	46.517640	45.959430	45.401221	44.843011	44.284802	43.726594	43.168386	42.610178	42.051971	41.493765	40.935559	40.377355	39.819152	39.260950	38.702749	38.144550	37.586354	37.028159	36.469968	35.911780	35.353595	34.795415	34.237240	33.679071	33.120909	32.562755	32.004611	31.446478	30.888358	30.330254	29.772168	29.214102	28.656062	28.098050	27.540073	26.982136	26.424246	25.866412	25.308643	24.750952	24.193351	23.635858	23.078491	22.521274	21.964233	21.407400	20.850813	20.294517	19.738564	19.183015	18.627943	18.073433	17.519585	16.966514	16.414354	15.863258	15.313403	14.764987	14.218234	13.673388	13.130718	12.590510	12.053062	11.518678	10.987656	10.460279	9.936802	9.417438	8.902350	8.391644	7.885364	7.383493	6.885961	6.392651	5.903414	5.418080	4.936472	4.458416	3.983753	3.512347	3.044087	2.578893	2.116717	1.657541	1.201376	0.748258	0.298246	-2.094539	-0.592153	-1.032367	-1.469144	-1.902407	-2.332100	-2.758184	-3.180652	-3.599522	-4.014846	-4.426705	-4.835211	-5.240499	-5.642724	-6.042059	-6.438687	-6.832794	-7.224571	-7.614201	-8.001867	-8.387737	-8.771974	-9.154728	-9.536137	-9.916328	-10.295417	-10.673509	-11.050697	-11.427067	-11.802695	-12.177650	-12.551993	-12.925780	-13.299058	-13.671873	-14.044263	-14.416264	-14.787908	-15.159223	-15.530236	-15.900968	-16.271442	-16.641676	-17.011688	-17.381493	-17.751105	-18.120538	-18.489803	-18.858911	-19.227873	-19.596697	-19.965392	-20.333965	-20.702424	-21.070776	-21.439027	-21.807182	-22.175246	-22.543225	-22.911124	-23.278946	-23.646696	-24.014377	-24.381993	-24.749547	-25.117043	-25.484482	-25.851869	-26.219205	-26.586494	-26.953736	-27.320935	-27.688093	-28.055211	-28.422291	-28.789335	-29.156344	-29.523321	-29.890266	-30.257182	
-1.806180	58.680403	57.976281	57.272163	56.568049	55.863940	55.159835	54.455735	53.751640	53.047552	52.343471	51.639397	50.935331	50.231274	49.527227	48.823190	48.119165	47.415154	46.711156	46.007175	45.303210	44.599265	43.895341	43.191439	42.487564	41.783716	41.079900	40.376118	39.672374	38.968672	38.265017	37.561413	36.857866	36.154382	35.450969	34.747634	34.044385	33.341232	32.638187	31.935261	31.232468	30.529823	29.827344	29.125050	28.422963	27.721107	27.019511	26.318206	25.617227	24.916616	24.216417	23.516684	22.817474	22.118856	21.420907	20.723715	20.027380	19.332019	18.637762	17.944764	17.253198	16.563265	15.875196	15.189254	14.505743	13.825005	13.147426	12.473440	11.803525	11.138196	10.478003	9.823511	9.175281	8.533849	7.899693	7.273208	6.654683	6.044285	5.442057	4.847924	4.261710	3.683167	3.111999	2.547889	1.990523	1.439601	0.894850	0.356028	-2.666910	-0.704670	-1.226917	-1.743990	-2.256058	-2.763294	-3.265883	-3.764019	-4.257913	-4.747785	-5.233866	-5.716393	-6.195604	-6.671737	-7.145023	-7.615686	-8.083939	-8.549983	-9.014002	-9.476170	-9.936645	-10.395570	-10.853076	-11.309282	-11.764293	-12.218207	-12.671108	-13.123076	-13.574179	-14.024481	-14.474038	-14.922903	-15.371121	-15.818735	-16.265783	-16.712300	-17.158320	-17.603872	-18.048982	-18.493677	-18.937981	-19.381913	-19.825496	-20.268749	-20.711688	-21.154331	-21.596693	-22.038789	-22.480634	-22.922239	-23.363617	-23.804781	-24.245740	-24.686506	-25.127088	-25.567496	-26.007737	-26.447822	-26.887757	-27.327550	-27.767209	-28.206739	-28.646147	-29.085440	-29.524623	-29.963702	-30.402681	-30.841566	-31.280362	-31.719072	-32.157700	-32.596252	-33.034730	-33.473139	-33.911481	-34.349760	-34.787979	-35.226141	-35.664248	-36.102303	
-2.107210	74.104333	73.216204	72.328113	71.440062	70.552053	69.664087	68.776166	67.888293	67.000469	66.112696	65.224977	64.337314	63.449708	62.562164	61.674682	60.787266	59.899919	59.012643	58.125442	57.238319	56.351276	55.464318	54.577448	53.690670	52.803987	51.917405	51.030926	50.144557	49.258302	48.372165	47.486152	46.600270	45.714524	44.828920	43.943465	43.058168	42.173035	41.288076	40.403299	39.518715	38.634335	37.750170	36.866234	35.982540	35.099106	34.215948	33.333087	32.450543	31.568343	30.686514	29.805088	28.924101	28.043593	27.163614	26.284216	25.405463	24.527428	23.650196	22.773867	21.898557	21.024402	20.151565	19.280235	18.410636	17.543034	16.677740	15.815125	14.955620	14.099733	13.248053	12.401260	11.560136	10.725566	9.898546	9.080184	8.271705	7.474442	6.689835	5.919405	5.164705	4.427231	3.708290	3.008833	2.329301	1.669544	1.028833	0.405997	-3.192454	-0.791850	-1.369783	-1.935464	-2.489984	-3.034277	-3.569163	-4.095385	-4.613644	-5.124626	-5.629004	-6.127437	-6.620567	-7.109005	-7.593319	-8.074033	-8.551615	-9.026485	-9.499006	-9.969494	-10.438221	-10.905419	-11.371285	-11.835985	-12.299661	-12.762431	-13.224396	-13.685643	-14.146244	-14.606261	-15.065748	-15.524751	-15.983310	-16.441460	-16.899232	-17.356653	-17.813746	-18.270535	-18.727038	-19.183273	-19.639256	-20.095002	-20.550525	-21.005838	-21.460952	-21.915879	-22.370628	-22.825209	-23.279631	-23.733902	-24.188032	-24.642026	-25.095893	-25.549638	-26.003269	-26.456792	-26.910211	-27.363533	-27.816762	-28.269904	-28.722963	-29.175944	-29.628850	-30.081685	-30.534454	-30.987159	-31.439805	-31.892393	-32.344928	-32.797412	-33.249847	-33.702237	-34.154584	-34.606890	-35.059156	-35.511386	-35.963581	-36.415744	-36.867875	-37.319976	
-2.408240	124.716835	123.220233	121.723631	120.227029	118.730427	117.233825	115.737223	114.240621	112.744019	111.247417	109.750815	108.254212	106.757610	105.261008	103.764406	102.267804	100.771202	99.274600	97.777998	96.281396	94.784794	93.288192	91.791590	90.294988	88.798386	87.301784	85.805182	84.308580	82.811979	81.315377	79.818775	78.322173	76.825571	75.328969	73.832368	72.335766	70.839165	69.342563	67.845962	66.349362	64.852761	63.356161	61.859562	60.362963	58.866366	57.369769	55.873175	54.376582	52.879992	51.383406	49.886825	48.390249	46.893681	45.397122	43.900577	42.404047	40.907539	39.411057	37.914611	36.418209	34.921866	33.425597	31.929424	30.433374	28.937485	27.441800	25.946380	24.451299	22.956658	21.462582	19.969239	18.476849	16.985713	15.496257	14.009126	12.525422	11.047315	9.579862	8.136352	6.751565	5.494277	4.421328	3.502230	2.672206	1.895067	1.157160	0.452795	-3.719905	-0.869770	-1.494452	-2.098672	-2.684984	-3.255619	-3.812539	-4.357500	-4.892100	-5.417798	-5.935922	-6.447660	-6.954064	-7.456042	-7.954370	-8.449698	-8.942565	-9.433415	-9.922610	-10.410442	-10.897149	-11.382922	-11.867917	-12.352257	-12.836044	-13.319359	-13.802271	-14.284832	-14.767088	-15.249077	-15.730827	-16.212366	-16.693715	-17.174892	-17.655912	-18.136789	-18.617533	-19.098156	-19.578665	-20.059069	-20.539373	-21.019585	-21.499709	-21.979749	-22.459712	-22.939599	-23.419416	-23.899165	-24.378849	-24.858472	-25.338035	-25.817542	-26.296994	-26.776393	-27.255742	-27.735043	-28.214297	-28.693505	-29.172670	-29.651792	-30.130874	-30.609916	-31.088921	-31.567888	-32.046819	-32.525715	-33.004578	-33.483408	-33.962206	-34.440973	-34.919710	-35.398417	-35.877097	-36.355748	-36.834373	-37.312972	-37.791545	-38.270093	-38.748617	-39.227117	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

