Scale	'-25.000000	'-24.700000	'-24.400000	'-24.100000	'-23.800000	'-23.500000	'-23.200000	'-22.900000	'-22.600000	'-22.300000	'-22.000000	'-21.700000	'-21.400000	'-21.100000	'-20.800000	'-20.500000	'-20.200000	'-19.900000	'-19.600000	'-19.300000	'-19.000000	'-18.700000	'-18.400000	'-18.100000	'-17.800000	'-17.500000	'-17.200000	'-16.900000	'-16.600000	'-16.300000	'-16.000000	'-15.700000	'-15.400000	'-15.100000	'-14.800000	'-14.500000	'-14.200000	'-13.900000	'-13.600000	'-13.300000	'-13.000000	'-12.700000	'-12.400000	'-12.100000	'-11.800000	'-11.500000	'-11.200000	'-10.900000	'-10.600000	'-10.300000	'-10.000000	'-9.700000	'-9.400000	'-9.100000	'-8.800000	'-8.500000	'-8.200000	'-7.900000	'-7.600000	'-7.300000	'-7.000000	'-6.700000	'-6.400000	'-6.100000	'-5.800000	'-5.500000	'-5.200000	'-4.900000	'-4.600000	'-4.300000	'-4.000000	'-3.700000	'-3.400000	'-3.100000	'-2.800000	'-2.500000	'-2.200000	'-1.900000	'-1.600000	'-1.300000	'-1.000000	'-0.700000	'-0.400000	'-0.100000	'0.200000	'0.500000	'0.800000	'1.100000	'1.400000	'1.700000	'2.000000	'2.300000	'2.600000	'2.900000	'3.200000	'3.500000	'3.800000	'4.100000	'4.400000	'4.700000	'5.000000	'5.300000	'5.600000	'5.900000	'6.200000	'6.500000	'6.800000	'7.100000	'7.400000	'7.700000	'8.000000	'8.300000	'8.600000	'8.900000	'9.200000	'9.500000	'9.800000	'10.100000	'10.400000	'10.700000	'11.000000	'11.300000	'11.600000	'11.900000	'12.200000	'12.500000	'12.800000	'13.100000	'13.400000	'13.700000	'14.000000	'14.300000	'14.600000	'14.900000	'15.200000	'15.500000	'15.800000	'16.100000	'16.400000	'16.700000	'17.000000	'17.300000	'17.600000	'17.900000	'18.200000	'18.500000	'18.800000	'19.100000	'19.400000	'19.700000	'20.000000	'20.300000	'20.600000	'20.900000	'21.200000	'21.500000	'21.800000	'22.100000	'22.400000	'22.700000	'23.000000	'23.300000	'23.600000	'23.900000	'24.200000	'24.500000	'24.800000	
-0.602060	16.328122	16.134114	15.940163	15.746270	15.552437	15.358666	15.164960	14.971320	14.777750	14.584250	14.390824	14.197475	14.004204	13.811014	13.617909	13.424890	13.231960	13.039123	12.846381	12.653737	12.461194	12.268756	12.076425	11.884204	11.692097	11.500106	11.308236	11.116489	10.924869	10.733380	10.542023	10.350804	10.159725	9.968790	9.778002	9.587365	9.396882	9.206556	9.016391	8.826390	8.636557	8.446894	8.257406	8.068094	7.878963	7.690014	7.501252	7.312678	7.124297	6.936109	6.748118	6.560326	6.372736	6.185348	5.998167	5.811193	5.624427	5.437872	5.251530	5.065400	4.879484	4.693783	4.508298	4.323030	4.137978	3.953142	3.768524	3.584122	3.399936	3.215966	3.032211	2.848671	2.665343	2.482228	2.299323	2.116628	1.934140	1.751858	1.569781	1.387905	1.206230	1.024752	0.843470	0.662381	0.481482	0.300772	0.120247	-0.690235	-0.240258	-0.420243	-0.600054	-0.779693	-0.959163	-1.138468	-1.317611	-1.496593	-1.675419	-1.854090	-2.032611	-2.210984	-2.389212	-2.567297	-2.745244	-2.923053	-3.100730	-3.278275	-3.455692	-3.632984	-3.810153	-3.987201	-4.164133	-4.340949	-4.517652	-4.694246	-4.870732	-5.047112	-5.223389	-5.399565	-5.575643	-5.751624	-5.927510	-6.103304	-6.279007	-6.454622	-6.630149	-6.805592	-6.980952	-7.156230	-7.331429	-7.506549	-7.681593	-7.856561	-8.031457	-8.206280	-8.381032	-8.555716	-8.730331	-8.904880	-9.079364	-9.253783	-9.428139	-9.602434	-9.776668	-9.950843	-10.124959	-10.299018	-10.473021	-10.646968	-10.820860	-10.994699	-11.168486	-11.342221	-11.515905	-11.689539	-11.863123	-12.036660	-12.210149	-12.383591	-12.556987	-12.730337	-12.903643	-13.076905	-13.250124	-13.423300	-13.596434	-13.769526	-13.942579	
-0.903090	25.272567	24.972800	24.673063	24.373359	24.073687	23.774051	23.474451	23.174888	22.875366	22.575885	22.276447	21.977056	21.677711	21.378417	21.079176	20.779989	20.480861	20.181793	19.882790	19.583853	19.284987	18.986196	18.687483	18.388852	18.090308	17.791856	17.493500	17.195245	16.897097	16.599062	16.301146	16.003354	15.705695	15.408175	15.110802	14.813583	14.516527	14.219643	13.922940	13.626427	13.330116	13.034016	12.738139	12.442497	12.147101	11.851964	11.557101	11.262523	10.968247	10.674287	10.380659	10.087378	9.794461	9.501925	9.209788	8.918067	8.626781	8.335949	8.045590	7.755723	7.466367	7.177543	6.889271	6.601569	6.314458	6.027957	5.742086	5.456864	5.172308	4.888437	4.605268	4.322818	4.041101	3.760132	3.479925	3.200492	2.921843	2.643989	2.366937	2.090695	1.815267	1.540657	1.266867	0.993897	0.721748	0.450415	0.179896	-1.105040	-0.358728	-0.626848	-0.894186	-1.160752	-1.426559	-1.691619	-1.955946	-2.219556	-2.482464	-2.744686	-3.006239	-3.267140	-3.527406	-3.787057	-4.046109	-4.304582	-4.562493	-4.819862	-5.076705	-5.333042	-5.588891	-5.844269	-6.099193	-6.353682	-6.607752	-6.861419	-7.114699	-7.367609	-7.620164	-7.872378	-8.124267	-8.375843	-8.627120	-8.878113	-9.128832	-9.379291	-9.629501	-9.879473	-10.129219	-10.378748	-10.628070	-10.877196	-11.126134	-11.374893	-11.623481	-11.871907	-12.120177	-12.368300	-12.616283	-12.864131	-13.111852	-13.359450	-13.606933	-13.854306	-14.101573	-14.348740	-14.595811	-14.842791	-15.089684	-15.336494	-15.583226	-15.829881	-16.076465	-16.322981	-16.569430	-16.815818	-17.062145	-17.308415	-17.554631	-17.800794	-18.046908	-18.292973	-18.538993	-18.784970	-19.030904	-19.276798	-19.522653	-19.768471	-20.014254	
-1.204120	35.094035	34.673254	34.252495	33.831760	33.411049	32.990366	32.569711	32.149088	31.728499	31.307945	30.887431	30.466958	30.046531	29.626152	29.205825	28.785555	28.365345	27.945200	27.525126	27.105127	26.685210	26.265381	25.845647	25.426015	25.006493	24.587089	24.167814	23.748676	23.329687	22.910859	22.492203	22.073733	21.655465	21.237412	20.819593	20.402024	19.984726	19.567720	19.151027	18.734671	18.318678	17.903074	17.487889	17.073154	16.658901	16.245164	15.831981	15.419388	15.007428	14.596142	14.185573	13.775768	13.366774	12.958639	12.551414	12.145148	11.739893	11.335701	10.932623	10.530710	10.130011	9.730577	9.332453	8.935684	8.540314	8.146380	7.753920	7.362965	6.973546	6.585686	6.199408	5.814730	5.431665	5.050223	4.670413	4.292238	3.915700	3.540799	3.167531	2.795892	2.425877	2.057477	1.690687	1.325496	0.961896	0.599878	0.239430	-1.573911	-0.476798	-0.832601	-1.186880	-1.539651	-1.890927	-2.240727	-2.589068	-2.935970	-3.281456	-3.625549	-3.968276	-4.309665	-4.649745	-4.988548	-5.326109	-5.662462	-5.997645	-6.331696	-6.664654	-6.996559	-7.327453	-7.657376	-7.986369	-8.314474	-8.641732	-8.968182	-9.293864	-9.618817	-9.943079	-10.266685	-10.589672	-10.912073	-11.233921	-11.555248	-11.876082	-12.196453	-12.516388	-12.835912	-13.155050	-13.473824	-13.792256	-14.110366	-14.428175	-14.745699	-15.062957	-15.379963	-15.696732	-16.013280	-16.329618	-16.645759	-16.961714	-17.277495	-17.593111	-17.908572	-18.223886	-18.539062	-18.854108	-19.169029	-19.483834	-19.798529	-20.113119	-20.427610	-20.742006	-21.056314	-21.370537	-21.684680	-21.998746	-22.312739	-22.626664	-22.940522	-23.254318	-23.568053	-23.881732	-24.195356	-24.508928	-24.822449	-25.135923	-25.449352	-25.762736	
-1.505150	43.517131	42.995800	42.474510	41.953262	41.432059	40.910904	40.389799	39.868749	39.347755	38.826822	38.305954	37.785154	37.264426	36.743776	36.223208	35.702727	35.182339	34.662050	34.141866	33.621795	33.101843	32.582018	32.062329	31.542786	31.023397	30.504173	29.985126	29.466267	28.947610	28.429168	27.910957	27.392992	26.875291	26.357872	25.840755	25.323962	24.807514	24.291438	23.775758	23.260504	22.745704	22.231391	21.717598	21.204362	20.691720	20.179713	19.668384	19.157777	18.647939	18.138919	17.630767	17.123535	16.617279	16.112052	15.607912	15.104914	14.603115	14.102573	13.603342	13.105477	12.609032	12.114055	11.620596	11.128699	10.638405	10.149751	9.662771	9.177494	8.693946	8.212148	7.732118	7.253871	6.777418	6.302770	5.829932	5.358911	4.889713	4.422342	3.956804	3.493103	3.031246	2.571242	2.113098	1.656824	1.202431	0.749930	0.299333	-2.107923	-0.596105	-1.040927	-1.483807	-1.924743	-2.363734	-2.800784	-3.235903	-3.669106	-4.100413	-4.529850	-4.957449	-5.383250	-5.807295	-6.229634	-6.650321	-7.069413	-7.486971	-7.903060	-8.317744	-8.731092	-9.143169	-9.554045	-9.963784	-10.372453	-10.780116	-11.186833	-11.592666	-11.997671	-12.401901	-12.805410	-13.208246	-13.610455	-14.012080	-14.413163	-14.813741	-15.213850	-15.613523	-16.012791	-16.411682	-16.810224	-17.208441	-17.606356	-18.003991	-18.401364	-18.798495	-19.195400	-19.592094	-19.988594	-20.384911	-20.781058	-21.177046	-21.572887	-21.968591	-22.364165	-22.759620	-23.154962	-23.550199	-23.945339	-24.340386	-24.735347	-25.130228	-25.525033	-25.919767	-26.314435	-26.709040	-27.103587	-27.498079	-27.892520	-28.286911	-28.681257	-29.075560	-29.469823	-29.864047	-30.258235	-30.652390	-31.046512	-31.440605	-31.834668	-32.228705	
-1.806180	57.817747	57.123936	56.430125	55.736314	55.042503	54.348693	53.654883	52.961073	52.267264	51.573456	50.879648	50.185841	49.492035	48.798229	48.104425	47.410621	46.716819	46.023019	45.329220	44.635424	43.941630	43.247838	42.554049	41.860264	41.166483	40.472707	39.778936	39.085171	38.391413	37.697663	37.003923	36.310193	35.616476	34.922774	34.229088	33.535422	32.841779	32.148162	31.454576	30.761026	30.067518	29.374060	28.680661	27.987329	27.294079	26.600925	25.907884	25.214978	24.522233	23.829681	23.137359	22.445315	21.753604	21.062298	20.371481	19.681258	18.991758	18.303139	17.615594	16.929362	16.244730	15.562047	14.881733	14.204282	13.530269	12.860349	12.195243	11.535719	10.882555	10.236489	9.598165	8.968072	8.346504	7.733532	7.129007	6.532594	5.943813	5.362100	4.786860	4.217505	3.653489	3.094322	2.539578	1.988894	1.441963	0.898528	0.358372	-2.698850	-0.712812	-1.244141	-1.772799	-2.298902	-2.822559	-3.343873	-3.862943	-4.379866	-4.894737	-5.407647	-5.918689	-6.427951	-6.935519	-7.441480	-7.945916	-8.448905	-8.950527	-9.450855	-9.949960	-10.447910	-10.944771	-11.440604	-11.935467	-12.429416	-12.922504	-13.414778	-13.906286	-14.397071	-14.887174	-15.376632	-15.865481	-16.353755	-16.841485	-17.328700	-17.815427	-18.301691	-18.787516	-19.272924	-19.757936	-20.242570	-20.726845	-21.210778	-21.694383	-22.177676	-22.660671	-23.143379	-23.625814	-24.107986	-24.589906	-25.071584	-25.553029	-26.034250	-26.515255	-26.996052	-27.476648	-27.957051	-28.437266	-28.917300	-29.397159	-29.876849	-30.356374	-30.835741	-31.314953	-31.794015	-32.272932	-32.751708	-33.230346	-33.708852	-34.187227	-34.665477	-35.143604	-35.621612	-36.099503	-36.577281	-37.054949	-37.532510	-38.009965	-38.487319	-38.964573	
-2.107210	74.842258	73.944319	73.046390	72.148470	71.250561	70.352663	69.454777	68.556903	67.659043	66.761198	65.863368	64.965554	64.067757	63.169979	62.272221	61.374483	60.476768	59.579076	58.681410	57.783770	56.886159	55.988578	55.091029	54.193515	53.296036	52.398597	51.501198	50.603843	49.706535	48.809275	47.912068	47.014916	46.117823	45.220792	44.323827	43.426933	42.530112	41.633371	40.736713	39.840143	38.943666	38.047289	37.151016	36.254853	35.358808	34.462886	33.567094	32.671440	31.775931	30.880575	29.985381	29.090358	28.195516	27.300864	26.406413	25.512177	24.618169	23.724405	22.830904	21.937689	21.044790	20.152247	19.260114	18.368469	17.477422	16.587141	15.697876	14.810009	13.924129	13.041139	12.162413	11.290007	10.426879	9.577028	8.745345	7.936903	7.155677	6.403198	5.678025	4.976445	4.293858	3.625960	2.969328	2.321502	1.680814	1.046166	0.416840	-3.353587	-0.827650	-1.443415	-2.055162	-2.663073	-3.267318	-3.868054	-4.465432	-5.059593	-5.650675	-6.238810	-6.824123	-7.406736	-7.986765	-8.564324	-9.139523	-9.712467	-10.283262	-10.852009	-11.418808	-11.983756	-12.546949	-13.108481	-13.668443	-14.226924	-14.784009	-15.339783	-15.894326	-16.447716	-17.000025	-17.551325	-18.101683	-18.651162	-19.199824	-19.747723	-20.294914	-20.841447	-21.387368	-21.932721	-22.477546	-23.021882	-23.565763	-24.109222	-24.652289	-25.194992	-25.737357	-26.279408	-26.821167	-27.362655	-27.903889	-28.444888	-28.985668	-29.526244	-30.066628	-30.606834	-31.146874	-31.686758	-32.226497	-32.766098	-33.305572	-33.844925	-34.384165	-34.923300	-35.462334	-36.001274	-36.540125	-37.078892	-37.617581	-38.156194	-38.694737	-39.233212	-39.771624	-40.309975	-40.848269	-41.386508	-41.924696	-42.462834	-43.000924	-43.538970	-44.076973	
-2.408240	85.738085	84.712030	83.686017	82.660047	81.634120	80.608237	79.582400	78.556609	77.530865	76.505170	75.479524	74.453928	73.428384	72.402892	71.377454	70.352071	69.326744	68.301475	67.276263	66.251112	65.226021	64.200993	63.176028	62.151129	61.126296	60.101531	59.076836	58.052212	57.027660	56.003184	54.978784	53.954463	52.930222	51.906065	50.881992	49.858008	48.834114	47.810315	46.786612	45.763011	44.739515	43.716128	42.692857	41.669706	40.646683	39.623795	38.601050	37.578460	36.556035	35.533789	34.511738	33.489902	32.468302	31.446965	30.425923	29.405214	28.384885	27.364992	26.345604	25.326807	24.308705	23.291428	22.275138	21.260038	20.246383	19.234493	18.224774	17.217738	16.214033	15.214476	14.220099	13.232194	12.252369	11.282596	10.325241	9.383049	8.459034	7.556231	6.677291	5.823994	4.996830	4.194865	3.415954	2.657212	1.915528	1.187962	0.471961	-4.033449	-0.933305	-1.625537	-2.312272	-2.994292	-3.672204	-4.346490	-5.017536	-5.685658	-6.351116	-7.014134	-7.674902	-8.333587	-8.990335	-9.645280	-10.298541	-10.950226	-11.600435	-12.249261	-12.896789	-13.543098	-14.188262	-14.832348	-15.475421	-16.117541	-16.758763	-17.399139	-18.038717	-18.677543	-19.315658	-19.953103	-20.589915	-21.226126	-21.861771	-22.496878	-23.131476	-23.765591	-24.399247	-25.032468	-25.665275	-26.297688	-26.929725	-27.561405	-28.192744	-28.823757	-29.454460	-30.084866	-30.714987	-31.344837	-31.974426	-32.603766	-33.232867	-33.861738	-34.490388	-35.118828	-35.747063	-36.375104	-37.002956	-37.630627	-38.258124	-38.885453	-39.512621	-40.139632	-40.766494	-41.393210	-42.019787	-42.646229	-43.272540	-43.898726	-44.524790	-45.150737	-45.776571	-46.402294	-47.027912	-47.653427	-48.278843	-48.904163	-49.529390	-50.154528	-50.779578	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

