Scale	'-25.000000	'-24.700000	'-24.400000	'-24.100000	'-23.800000	'-23.500000	'-23.200000	'-22.900000	'-22.600000	'-22.300000	'-22.000000	'-21.700000	'-21.400000	'-21.100000	'-20.800000	'-20.500000	'-20.200000	'-19.900000	'-19.600000	'-19.300000	'-19.000000	'-18.700000	'-18.400000	'-18.100000	'-17.800000	'-17.500000	'-17.200000	'-16.900000	'-16.600000	'-16.300000	'-16.000000	'-15.700000	'-15.400000	'-15.100000	'-14.800000	'-14.500000	'-14.200000	'-13.900000	'-13.600000	'-13.300000	'-13.000000	'-12.700000	'-12.400000	'-12.100000	'-11.800000	'-11.500000	'-11.200000	'-10.900000	'-10.600000	'-10.300000	'-10.000000	'-9.700000	'-9.400000	'-9.100000	'-8.800000	'-8.500000	'-8.200000	'-7.900000	'-7.600000	'-7.300000	'-7.000000	'-6.700000	'-6.400000	'-6.100000	'-5.800000	'-5.500000	'-5.200000	'-4.900000	'-4.600000	'-4.300000	'-4.000000	'-3.700000	'-3.400000	'-3.100000	'-2.800000	'-2.500000	'-2.200000	'-1.900000	'-1.600000	'-1.300000	'-1.000000	'-0.700000	'-0.400000	'-0.100000	'0.200000	'0.500000	'0.800000	'1.100000	'1.400000	'1.700000	'2.000000	'2.300000	'2.600000	'2.900000	'3.200000	'3.500000	'3.800000	'4.100000	'4.400000	'4.700000	'5.000000	'5.300000	'5.600000	'5.900000	'6.200000	'6.500000	'6.800000	'7.100000	'7.400000	'7.700000	'8.000000	'8.300000	'8.600000	'8.900000	'9.200000	'9.500000	'9.800000	'10.100000	'10.400000	'10.700000	'11.000000	'11.300000	'11.600000	'11.900000	'12.200000	'12.500000	'12.800000	'13.100000	'13.400000	'13.700000	'14.000000	'14.300000	'14.600000	'14.900000	'15.200000	'15.500000	'15.800000	'16.100000	'16.400000	'16.700000	'17.000000	'17.300000	'17.600000	'17.900000	'18.200000	'18.500000	'18.800000	'19.100000	'19.400000	'19.700000	'20.000000	'20.300000	'20.600000	'20.900000	'21.200000	'21.500000	'21.800000	'22.100000	'22.400000	'22.700000	'23.000000	'23.300000	'23.600000	'23.900000	'24.200000	'24.500000	'24.800000	
-0.602060	18.336393	18.117090	17.897811	17.678555	17.459325	17.240121	17.020945	16.801796	16.582677	16.363589	16.144532	15.925508	15.706519	15.487565	15.268649	15.049771	14.830933	14.612137	14.393384	14.174676	13.956015	13.737403	13.518841	13.300332	13.081878	12.863481	12.645143	12.426868	12.208656	11.990512	11.772437	11.554436	11.336511	11.118665	10.900903	10.683228	10.465643	10.248155	10.030766	9.813483	9.596311	9.379256	9.162323	8.945521	8.728857	8.512339	8.295976	8.079779	7.863758	7.647925	7.432294	7.216880	7.001699	6.786769	6.572110	6.357745	6.143697	5.929994	5.716666	5.503746	5.291270	5.079278	4.867814	4.656927	4.446668	4.237093	4.028263	3.820244	3.613106	3.406920	3.201765	2.997719	2.794864	2.593283	2.393057	2.194267	1.996989	1.801296	1.607252	1.414915	1.224330	1.035533	0.848546	0.663379	0.480026	0.298470	0.118681	-0.679102	-0.235785	-0.410578	-0.583838	-0.755642	-0.926072	-1.095213	-1.263150	-1.429968	-1.595751	-1.760581	-1.924537	-2.087692	-2.250117	-2.411877	-2.573035	-2.733646	-2.893763	-3.053434	-3.212702	-3.371606	-3.530184	-3.688467	-3.846485	-4.004264	-4.161828	-4.319198	-4.476394	-4.633432	-4.790328	-4.947096	-5.103747	-5.260293	-5.416743	-5.573107	-5.729391	-5.885603	-6.041749	-6.197834	-6.353864	-6.509842	-6.665772	-6.821659	-6.977505	-7.133313	-7.289085	-7.444824	-7.600532	-7.756209	-7.911859	-8.067483	-8.223080	-8.378654	-8.534205	-8.689733	-8.845240	-9.000726	-9.156192	-9.311639	-9.467067	-9.622477	-9.777869	-9.933244	-10.088601	-10.243942	-10.399267	-10.554575	-10.709868	-10.865145	-11.020407	-11.175653	-11.330885	-11.486102	-11.641304	-11.796493	-11.951666	-12.106826	-12.261972	-12.417104	-12.572223	
-0.903090	27.721556	27.389718	27.057915	26.726149	26.394422	26.062736	25.731094	25.399498	25.067949	24.736451	24.405007	24.073619	23.742290	23.411023	23.079822	22.748690	22.417631	22.086649	21.755748	21.424931	21.094204	20.763571	20.433037	20.102607	19.772288	19.442083	19.112000	18.782045	18.452224	18.122544	17.793013	17.463637	17.134426	16.805387	16.476528	16.147860	15.819391	15.491130	15.163090	14.835279	14.507710	14.180394	13.853343	13.526569	13.200087	12.873909	12.548049	12.222523	11.897346	11.572535	11.248104	10.924074	10.600460	10.277284	9.954564	9.632322	9.310580	8.989362	8.668693	8.348600	8.029111	7.710257	7.392072	7.074592	6.757858	6.441913	6.126807	5.812595	5.499338	5.187105	4.875976	4.566041	4.257401	3.950176	3.644497	3.340521	3.038421	2.738397	2.440673	2.145500	1.853156	1.563940	1.278173	0.996187	0.718315	0.444878	0.176169	-1.071522	-0.346137	-0.599441	-0.847451	-1.090233	-1.327938	-1.560792	-1.789082	-2.013141	-2.233328	-2.450012	-2.663559	-2.874320	-3.082624	-3.288774	-3.493045	-3.695679	-3.896894	-4.096879	-4.295800	-4.493798	-4.690999	-4.887510	-5.083422	-5.278815	-5.473757	-5.668308	-5.862518	-6.056431	-6.250085	-6.443513	-6.636743	-6.829800	-7.022705	-7.215477	-7.408132	-7.600684	-7.793146	-7.985528	-8.177839	-8.370089	-8.562284	-8.754431	-8.946535	-9.138601	-9.330634	-9.522638	-9.714615	-9.906569	-10.098503	-10.290418	-10.482317	-10.674202	-10.866074	-11.057934	-11.249785	-11.441626	-11.633460	-11.825287	-12.017107	-12.208922	-12.400732	-12.592537	-12.784338	-12.976136	-13.167931	-13.359723	-13.551513	-13.743300	-13.935085	-14.126869	-14.318651	-14.510432	-14.702211	-14.893989	-15.085767	-15.277543	-15.469319	-15.661094	-15.852868	
-1.204120	38.572889	38.110612	37.648360	37.186136	36.723941	36.261776	35.799643	35.337543	34.875479	34.413453	33.951467	33.489522	33.027621	32.565768	32.103963	31.642211	31.180514	30.718875	30.257297	29.795785	29.334341	28.872969	28.411674	27.950461	27.489333	27.028296	26.567355	26.106516	25.645784	25.185167	24.724670	24.264301	23.804067	23.343978	22.884040	22.424265	21.964661	21.505240	21.046014	20.586993	20.128193	19.669628	19.211312	18.753264	18.295501	17.838044	17.380915	16.924137	16.467738	16.011746	15.556192	15.101113	14.646547	14.192537	13.739131	13.286382	12.834348	12.383094	11.932693	11.483224	11.034775	10.587443	10.141335	9.696566	9.253264	8.811565	8.371615	7.933568	7.497590	7.063848	6.632518	6.203777	5.777801	5.354768	4.934850	4.518219	4.105047	3.695515	3.289818	2.888189	2.490918	2.098385	1.711103	1.329762	0.955277	0.588812	0.231781	-1.491268	-0.447625	-0.767034	-1.071601	-1.361201	-1.636508	-1.898878	-2.150106	-2.392138	-2.626840	-2.855858	-3.080558	-3.302023	-3.521089	-3.738387	-3.954388	-4.169436	-4.383787	-4.597627	-4.811091	-5.024279	-5.237263	-5.450097	-5.662819	-5.875459	-6.088036	-6.300568	-6.513066	-6.725538	-6.937991	-7.150429	-7.362856	-7.575275	-7.787688	-8.000096	-8.212501	-8.424903	-8.637303	-8.849701	-9.062098	-9.274494	-9.486890	-9.699285	-9.911679	-10.124073	-10.336467	-10.548861	-10.761255	-10.973649	-11.186042	-11.398435	-11.610829	-11.823222	-12.035615	-12.248009	-12.460402	-12.672795	-12.885189	-13.097582	-13.309975	-13.522368	-13.734762	-13.947155	-14.159548	-14.371941	-14.584334	-14.796728	-15.009121	-15.221514	-15.433907	-15.646301	-15.858694	-16.071087	-16.283480	-16.495873	-16.708267	-16.920660	-17.133053	-17.345446	-17.557840	
-1.505150	53.661055	53.017123	52.373190	51.729258	51.085325	50.441393	49.797461	49.153528	48.509596	47.865664	47.221732	46.577800	45.933868	45.289936	44.646004	44.002073	43.358142	42.714211	42.070280	41.426350	40.782420	40.138491	39.494563	38.850635	38.206708	37.562782	36.918858	36.274935	35.631013	34.987094	34.343178	33.699265	33.055355	32.411450	31.767550	31.123656	30.479770	29.835893	29.192027	28.548174	27.904337	27.260518	26.616722	25.972954	25.329218	24.685523	24.041876	23.398287	22.754769	22.111337	21.468009	20.824809	20.181764	19.538909	18.896286	18.253948	17.611957	16.970395	16.329359	15.688971	15.049381	14.410773	13.773376	13.137468	12.503391	11.871558	11.242464	10.616697	9.994941	9.377977	8.766670	8.161946	7.564757	6.976029	6.396604	5.827186	5.268299	4.720275	4.183267	3.657293	3.142302	2.638250	2.145173	1.663253	1.192861	0.734576	0.289157	-1.986208	-0.559705	-0.961745	-1.348475	-1.720234	-2.077901	-2.422805	-2.756554	-3.080850	-3.397330	-3.707468	-4.012523	-4.313537	-4.611344	-4.906606	-5.199841	-5.491451	-5.781747	-6.070974	-6.359320	-6.646935	-6.933937	-7.220420	-7.506460	-7.792118	-8.077446	-8.362485	-8.647272	-8.931835	-9.216200	-9.500390	-9.784424	-10.068318	-10.352086	-10.635743	-10.919298	-11.202763	-11.486146	-11.769456	-12.052699	-12.335883	-12.619012	-12.902093	-13.185129	-13.468126	-13.751087	-14.034015	-14.316914	-14.599787	-14.882635	-15.165462	-15.448269	-15.731058	-16.013832	-16.296591	-16.579336	-16.862070	-17.144793	-17.427507	-17.710212	-17.992908	-18.275598	-18.558281	-18.840958	-19.123631	-19.406298	-19.688961	-19.971620	-20.254275	-20.536927	-20.819577	-21.102224	-21.384868	-21.667510	-21.950151	-22.232789	-22.515426	-22.798062	-23.080696	-23.363329	
-1.806180	62.141792	61.401668	60.661599	59.921586	59.181628	58.441728	57.701885	56.962100	56.222374	55.482709	54.743104	54.003560	53.264078	52.524660	51.785306	51.046016	50.306792	49.567635	48.828546	48.089526	47.350576	46.611696	45.872890	45.134156	44.395498	43.656917	42.918413	42.179990	41.441648	40.703389	39.965216	39.227132	38.489137	37.751236	37.013432	36.275727	35.538125	34.800630	34.063247	33.325981	32.588838	31.851822	31.114942	30.378206	29.641621	28.905198	28.168947	27.432882	26.697016	25.961366	25.225949	24.490788	23.755905	23.021329	22.287091	21.553228	20.819782	20.086802	19.354345	18.622478	17.891280	17.160842	16.431273	15.702701	14.975280	14.249189	13.524647	12.801912	12.081293	11.363160	10.647953	9.936199	9.228519	8.525640	7.828412	7.137805	6.454910	5.780932	5.117164	4.464958	3.825698	3.200770	2.591560	1.999481	1.426007	0.872713	0.341227	-2.467116	-0.650679	-1.109739	-1.544944	-1.958247	-2.352434	-2.730674	-3.096080	-3.451425	-3.799007	-4.140645	-4.477736	-4.811329	-5.142210	-5.470961	-5.798018	-6.123706	-6.448272	-6.771907	-7.094755	-7.416932	-7.738529	-8.059621	-8.380268	-8.700519	-9.020419	-9.340002	-9.659301	-9.978341	-10.297147	-10.615740	-10.934139	-11.252359	-11.570417	-11.888325	-12.206097	-12.523742	-12.841272	-13.158696	-13.476022	-13.793257	-14.110410	-14.427486	-14.744491	-15.061432	-15.378313	-15.695138	-16.011912	-16.328640	-16.645324	-16.961968	-17.278575	-17.595148	-17.911690	-18.228203	-18.544689	-18.861151	-19.177589	-19.494007	-19.810405	-20.126786	-20.443150	-20.759498	-21.075833	-21.392155	-21.708464	-22.024763	-22.341052	-22.657331	-22.973601	-23.289864	-23.606119	-23.922368	-24.238610	-24.554846	-24.871077	-25.187303	-25.503524	-25.819742	-26.135955	
-2.107210	83.609190	82.605897	81.602606	80.599318	79.596031	78.592747	77.589466	76.586188	75.582913	74.579642	73.576376	72.573114	71.569858	70.566607	69.563363	68.560127	67.556898	66.553679	65.550470	64.547273	63.544088	62.540917	61.537762	60.534625	59.531508	58.528413	57.525342	56.522299	55.519287	54.516308	53.513369	52.510472	51.507623	50.504828	49.502092	48.499424	47.496830	46.494321	45.491905	44.489595	43.487401	42.485340	41.483425	40.481676	39.480111	38.478752	37.477625	36.476756	35.476178	34.475923	33.476032	32.476546	31.477515	30.478992	29.481038	28.483719	27.487112	26.491299	25.496375	24.502446	23.509630	22.518061	21.527891	20.539294	19.552471	18.567656	17.585124	16.605209	15.628314	14.654945	13.685737	12.721510	11.763325	10.812579	9.871100	8.941259	8.026063	7.129154	6.254657	5.406787	4.589263	3.804713	3.054390	2.338357	1.656073	1.007065	0.391397	-2.973956	-0.737175	-1.249196	-1.727771	-2.176151	-2.598961	-3.001327	-3.388052	-3.763158	-4.129769	-4.490195	-4.846099	-5.198662	-5.548719	-5.896865	-6.243525	-6.589006	-6.933535	-7.277282	-7.620376	-7.962915	-8.304980	-8.646632	-8.987925	-9.328901	-9.669595	-10.010040	-10.350261	-10.690281	-11.030122	-11.369801	-11.709333	-12.048734	-12.388016	-12.727189	-13.066266	-13.405255	-13.744164	-14.083000	-14.421772	-14.760484	-15.099143	-15.437753	-15.776319	-16.114846	-16.453337	-16.791795	-17.130224	-17.468626	-17.807004	-18.145360	-18.483697	-18.822015	-19.160317	-19.498605	-19.836879	-20.175142	-20.513394	-20.851635	-21.189868	-21.528093	-21.866311	-22.204522	-22.542727	-22.880927	-23.219122	-23.557312	-23.895499	-24.233682	-24.571861	-24.910038	-25.248212	-25.586384	-25.924553	-26.262721	-26.600886	-26.939051	-27.277213	-27.615375	-27.953535	
-2.408240	128.876059	127.329546	125.783034	124.236521	122.690008	121.143495	119.596983	118.050470	116.503957	114.957445	113.410932	111.864419	110.317906	108.771394	107.224881	105.678368	104.131856	102.585343	101.038830	99.492318	97.945805	96.399292	94.852779	93.306267	91.759754	90.213241	88.666729	87.120216	85.573703	84.027190	82.480678	80.934165	79.387652	77.841140	76.294627	74.748114	73.201602	71.655089	70.108576	68.562063	67.015551	65.469038	63.922525	62.376013	60.829500	59.282988	57.736475	56.189963	54.643450	53.096938	51.550426	50.003915	48.457404	46.910893	45.364384	43.817876	42.271371	40.724868	39.178371	37.631880	36.085399	34.538932	32.992486	31.446071	29.899701	28.353397	26.807193	25.261134	23.715295	22.169785	20.624772	19.080521	17.537442	15.996198	14.457875	12.924340	11.398975	9.888427	8.406843	6.984798	5.677068	4.535743	3.553413	2.680427	1.879248	1.133400	0.437283	-3.471203	-0.814445	-1.376592	-1.903464	-2.401536	-2.876937	-3.334873	-3.779484	-4.213943	-4.640640	-5.061361	-5.477441	-5.889884	-6.299446	-6.706702	-7.112094	-7.515962	-7.918571	-8.320128	-8.720798	-9.120713	-9.519978	-9.918678	-10.316885	-10.714655	-11.112037	-11.509070	-11.905790	-12.302225	-12.698399	-13.094333	-13.490048	-13.885558	-14.280878	-14.676021	-15.070998	-15.465820	-15.860495	-16.255032	-16.649438	-17.043721	-17.437887	-17.831942	-18.225891	-18.619740	-19.013493	-19.407155	-19.800731	-20.194223	-20.587636	-20.980974	-21.374239	-21.767436	-22.160566	-22.553633	-22.946640	-23.339589	-23.732482	-24.125322	-24.518112	-24.910853	-25.303548	-25.696198	-26.088805	-26.481371	-26.873898	-27.266388	-27.658842	-28.051261	-28.443647	-28.836002	-29.228327	-29.620623	-30.012890	-30.405132	-30.797348	-31.189539	-31.581707	-31.973853	-32.365978	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

