Scale	'-25.000000	'-24.700000	'-24.400000	'-24.100000	'-23.800000	'-23.500000	'-23.200000	'-22.900000	'-22.600000	'-22.300000	'-22.000000	'-21.700000	'-21.400000	'-21.100000	'-20.800000	'-20.500000	'-20.200000	'-19.900000	'-19.600000	'-19.300000	'-19.000000	'-18.700000	'-18.400000	'-18.100000	'-17.800000	'-17.500000	'-17.200000	'-16.900000	'-16.600000	'-16.300000	'-16.000000	'-15.700000	'-15.400000	'-15.100000	'-14.800000	'-14.500000	'-14.200000	'-13.900000	'-13.600000	'-13.300000	'-13.000000	'-12.700000	'-12.400000	'-12.100000	'-11.800000	'-11.500000	'-11.200000	'-10.900000	'-10.600000	'-10.300000	'-10.000000	'-9.700000	'-9.400000	'-9.100000	'-8.800000	'-8.500000	'-8.200000	'-7.900000	'-7.600000	'-7.300000	'-7.000000	'-6.700000	'-6.400000	'-6.100000	'-5.800000	'-5.500000	'-5.200000	'-4.900000	'-4.600000	'-4.300000	'-4.000000	'-3.700000	'-3.400000	'-3.100000	'-2.800000	'-2.500000	'-2.200000	'-1.900000	'-1.600000	'-1.300000	'-1.000000	'-0.700000	'-0.400000	'-0.100000	'0.200000	'0.500000	'0.800000	'1.100000	'1.400000	'1.700000	'2.000000	'2.300000	'2.600000	'2.900000	'3.200000	'3.500000	'3.800000	'4.100000	'4.400000	'4.700000	'5.000000	'5.300000	'5.600000	'5.900000	'6.200000	'6.500000	'6.800000	'7.100000	'7.400000	'7.700000	'8.000000	'8.300000	'8.600000	'8.900000	'9.200000	'9.500000	'9.800000	'10.100000	'10.400000	'10.700000	'11.000000	'11.300000	'11.600000	'11.900000	'12.200000	'12.500000	'12.800000	'13.100000	'13.400000	'13.700000	'14.000000	'14.300000	'14.600000	'14.900000	'15.200000	'15.500000	'15.800000	'16.100000	'16.400000	'16.700000	'17.000000	'17.300000	'17.600000	'17.900000	'18.200000	'18.500000	'18.800000	'19.100000	'19.400000	'19.700000	'20.000000	'20.300000	'20.600000	'20.900000	'21.200000	'21.500000	'21.800000	'22.100000	'22.400000	'22.700000	'23.000000	'23.300000	'23.600000	'23.900000	'24.200000	'24.500000	'24.800000	
-0.602060	18.266843	18.050423	17.834022	17.617641	17.401280	17.184940	16.968620	16.752321	16.536043	16.319788	16.103555	15.887344	15.671157	15.454994	15.238855	15.022741	14.806653	14.590591	14.374555	14.158548	13.942569	13.726619	13.510699	13.294811	13.078955	12.863132	12.647344	12.431591	12.215876	12.000199	11.784562	11.568968	11.353417	11.137911	10.922454	10.707046	10.491692	10.276392	10.061151	9.845970	9.630854	9.415807	9.200832	8.985933	8.771115	8.556383	8.341744	8.127201	7.912764	7.698438	7.484231	7.270152	7.056211	6.842418	6.628785	6.415324	6.202049	5.988978	5.776126	5.563514	5.351164	5.139099	4.927349	4.715943	4.504917	4.294311	4.084168	3.874538	3.665480	3.457055	3.249337	3.042405	2.836351	2.631274	2.427286	2.224510	2.023081	1.823144	1.624853	1.428374	1.233876	1.041532	0.851514	0.663988	0.479108	0.297011	0.117812	-0.670020	-0.231581	-0.401703	-0.568786	-0.732885	-0.894085	-1.052502	-1.208276	-1.361566	-1.512543	-1.661385	-1.808273	-1.953385	-2.096892	-2.238959	-2.379739	-2.519372	-2.657991	-2.795711	-2.932639	-3.068870	-3.204489	-3.339571	-3.474181	-3.608378	-3.742213	-3.875732	-4.008973	-4.141970	-4.274755	-4.407354	-4.539788	-4.672079	-4.804244	-4.936299	-5.068256	-5.200127	-5.331923	-5.463653	-5.595325	-5.726945	-5.858519	-5.990054	-6.121553	-6.253021	-6.384461	-6.515877	-6.647271	-6.778646	-6.910004	-7.041347	-7.172676	-7.303994	-7.435301	-7.566599	-7.697889	-7.829171	-7.960447	-8.091717	-8.222982	-8.354242	-8.485499	-8.616751	-8.748001	-8.879247	-9.010491	-9.141733	-9.272973	-9.404210	-9.535447	-9.666682	-9.797915	-9.929148	-10.060379	-10.191610	-10.322840	-10.454069	-10.585297	-10.716525	-10.847752	
-0.903090	27.052566	26.732005	26.411473	26.090973	25.770505	25.450070	25.129669	24.809304	24.488976	24.168685	23.848434	23.528223	23.208054	22.887929	22.567848	22.247815	21.927829	21.607894	21.288011	20.968182	20.648408	20.328693	20.009038	19.689446	19.369920	19.050461	18.731072	18.411757	18.092518	17.773359	17.454282	17.135292	16.816392	16.497585	16.178876	15.860269	15.541769	15.223380	14.905107	14.586955	14.268931	13.951039	13.633287	13.315681	12.998228	12.680935	12.363811	12.046864	11.730104	11.413540	11.097183	10.781044	10.465137	10.149474	9.834070	9.518941	9.204106	8.889582	8.575392	8.261558	7.948108	7.635068	7.322473	7.010357	6.698762	6.387733	6.077321	5.767583	5.458587	5.150405	4.843124	4.536838	4.231656	3.927703	3.625117	3.324057	3.024699	2.727241	2.431901	2.138917	1.848546	1.561062	1.276748	0.995891	0.718774	0.445662	0.176792	-1.075484	-0.347494	-0.602686	-0.853201	-1.099095	-1.340486	-1.577554	-1.810525	-2.039662	-2.265251	-2.487589	-2.706977	-2.923706	-3.138055	-3.350284	-3.560633	-3.769319	-3.976541	-4.182472	-4.387270	-4.591071	-4.793997	-4.996156	-5.197639	-5.398529	-5.598898	-5.798808	-5.998315	-6.197465	-6.396302	-6.594862	-6.793178	-6.991277	-7.189186	-7.386926	-7.584516	-7.781974	-7.979315	-8.176551	-8.373695	-8.570757	-8.767746	-8.964671	-9.161538	-9.358355	-9.555126	-9.751856	-9.948551	-10.145214	-10.341848	-10.538457	-10.735043	-10.931610	-11.128158	-11.324691	-11.521209	-11.717715	-11.914209	-12.110694	-12.307169	-12.503637	-12.700097	-12.896551	-13.092999	-13.289442	-13.485881	-13.682316	-13.878747	-14.075175	-14.271600	-14.468022	-14.664442	-14.860860	-15.057277	-15.253691	-15.450105	-15.646517	-15.842927	-16.039337	-16.235746	
-1.204120	39.923250	39.444803	38.966382	38.487990	38.009626	37.531293	37.052993	36.574727	36.096496	35.618304	35.140151	34.662040	34.183974	33.705953	33.227982	32.750063	32.272198	31.794390	31.316642	30.838958	30.361341	29.883795	29.406323	28.928930	28.451620	27.974397	27.497267	27.020234	26.543304	26.066483	25.589776	25.113191	24.636734	24.160414	23.684237	23.208213	22.732350	22.256659	21.781150	21.305834	20.830724	20.355833	19.881176	19.406767	18.932624	18.458766	17.985212	17.511985	17.039108	16.566608	16.094514	15.622858	15.151675	14.681005	14.210890	13.741378	13.272522	12.804381	12.337019	11.870509	11.404932	10.940375	10.476937	10.014728	9.553867	9.094487	8.636734	8.180767	7.726760	7.274904	6.825403	6.378479	5.934371	5.493336	5.055651	4.621614	4.191551	3.765825	3.344845	2.929085	2.519107	2.115588	1.719354	1.331400	0.952900	0.585177	0.229622	-1.467288	-0.440041	-0.752594	-1.050216	-1.333663	-1.604230	-1.863557	-2.113406	-2.355479	-2.591304	-2.822179	-3.049167	-3.273118	-3.494697	-3.714423	-3.932694	-4.149819	-4.366036	-4.581530	-4.796443	-5.010888	-5.224954	-5.438711	-5.652213	-5.865507	-6.078629	-6.291606	-6.504465	-6.717224	-6.929899	-7.142504	-7.355051	-7.567547	-7.780002	-7.992421	-8.204810	-8.417173	-8.629515	-8.841839	-9.054147	-9.266442	-9.478725	-9.690999	-9.903265	-10.115524	-10.327777	-10.540025	-10.752268	-10.964508	-11.176745	-11.388979	-11.601211	-11.813441	-12.025669	-12.237896	-12.450122	-12.662347	-12.874571	-13.086794	-13.299016	-13.511238	-13.723459	-13.935680	-14.147901	-14.360121	-14.572341	-14.784561	-14.996781	-15.209001	-15.421220	-15.633439	-15.845659	-16.057878	-16.270097	-16.482316	-16.694535	-16.906754	-17.118973	-17.331192	-17.543411	
-1.505150	50.345416	49.741306	49.137200	48.533099	47.929001	47.324909	46.720823	46.116743	45.512669	44.908604	44.304547	43.700500	43.096464	42.492441	41.888430	41.284435	40.680457	40.076497	39.472559	38.868644	38.264755	37.660896	37.057069	36.453280	35.849531	35.245828	34.642177	34.038583	33.435053	32.831594	32.228216	31.624928	31.021739	30.418663	29.815712	29.212902	28.610248	28.007769	27.405485	26.803420	26.201599	25.600050	24.998803	24.397895	23.797363	23.197249	22.597599	21.998466	21.399903	20.801974	20.204742	19.608280	19.012665	18.417979	17.824310	17.231751	16.640400	16.050361	15.461739	14.874646	14.289194	13.705500	13.123680	12.543855	11.966146	11.390677	10.817575	10.246972	9.679008	9.113834	8.551619	7.992550	7.436845	6.884757	6.336581	5.792670	5.253439	4.719379	4.191073	3.669204	3.154581	2.648159	2.151070	1.664652	1.190481	0.730354	0.286229	-1.946591	-0.546587	-0.932695	-1.298283	-1.644404	-1.973001	-2.286564	-2.587733	-2.878998	-3.162521	-3.440077	-3.713070	-3.982582	-4.249436	-4.514255	-4.777507	-5.039546	-5.300640	-5.560993	-5.820762	-6.080066	-6.338999	-6.597635	-6.856031	-7.114233	-7.372277	-7.630192	-7.888001	-8.145723	-8.403375	-8.660967	-8.918511	-9.176014	-9.433484	-9.690926	-9.948345	-10.205745	-10.463129	-10.720499	-10.977858	-11.235207	-11.492549	-11.749884	-12.007214	-12.264539	-12.521860	-12.779178	-13.036493	-13.293806	-13.551117	-13.808426	-14.065734	-14.323041	-14.580347	-14.837652	-15.094956	-15.352260	-15.609563	-15.866866	-16.124169	-16.381471	-16.638773	-16.896075	-17.153376	-17.410678	-17.667979	-17.925281	-18.182582	-18.439883	-18.697184	-18.954485	-19.211786	-19.469087	-19.726388	-19.983689	-20.240989	-20.498290	-20.755591	-21.012892	-21.270193	
-1.806180	61.411269	60.680526	59.949813	59.219133	58.488484	57.757869	57.027288	56.296742	55.566232	54.835757	54.105320	53.374922	52.644562	51.914243	51.183965	50.453730	49.723538	48.993391	48.263291	47.533238	46.803234	46.073280	45.343379	44.613531	43.883739	43.154005	42.424330	41.694717	40.965168	40.235685	39.506272	38.776930	38.047664	37.318476	36.589369	35.860349	35.131418	34.402582	33.673846	32.945214	32.216694	31.488291	30.760014	30.031870	29.303870	28.576022	27.848340	27.120836	26.393526	25.666427	24.939558	24.212943	23.486606	22.760580	22.034898	21.309601	20.584737	19.860362	19.136542	18.413352	17.690886	16.969249	16.248568	15.528995	14.810706	14.093911	13.378857	12.665834	11.955183	11.247296	10.542630	9.841702	9.145099	8.453473	7.767541	7.088080	6.415918	5.751936	5.097071	4.452327	3.818813	3.197794	2.590752	1.999442	1.425905	0.872374	0.341026	-2.461462	-0.649151	-1.107586	-1.543370	-1.959070	-2.357692	-2.742237	-3.115409	-3.479482	-3.836290	-4.187278	-4.533569	-4.876034	-5.215353	-5.552060	-5.886580	-6.219255	-6.550361	-6.880126	-7.208739	-7.536359	-7.863118	-8.189130	-8.514493	-8.839288	-9.163587	-9.487453	-9.810938	-10.134090	-10.456949	-10.779550	-11.101924	-11.424098	-11.746096	-12.067939	-12.389645	-12.711229	-13.032707	-13.354090	-13.675390	-13.996615	-14.317775	-14.638877	-14.959928	-15.280933	-15.601898	-15.922826	-16.243723	-16.564592	-16.885436	-17.206257	-17.527059	-17.847843	-18.168611	-18.489366	-18.810108	-19.130839	-19.451561	-19.772273	-20.092978	-20.413676	-20.734368	-21.055055	-21.375736	-21.696413	-22.017087	-22.337757	-22.658423	-22.979087	-23.299749	-23.620408	-23.941066	-24.261721	-24.582376	-24.903028	-25.223680	-25.544330	-25.864980	-26.185628	-26.506276	
-2.107210	84.790397	83.776126	82.761864	81.747613	80.733373	79.719143	78.704924	77.690716	76.676519	75.662334	74.648160	73.633999	72.619849	71.605713	70.591589	69.577478	68.563380	67.549297	66.535228	65.521174	64.507136	63.493113	62.479108	61.465119	60.451149	59.437198	58.423267	57.409357	56.395469	55.381605	54.367766	53.353952	52.340167	51.326412	50.312689	49.298999	48.285347	47.271733	46.258163	45.244638	44.231162	43.217740	42.204377	41.191076	40.177845	39.164688	38.151613	37.138627	36.125740	35.112960	34.100297	33.087764	32.075373	31.063139	30.051078	29.039208	28.027550	27.016128	26.004967	24.994099	23.983560	22.973392	21.963646	20.954386	19.945691	18.937664	17.930443	16.924213	15.919237	14.915891	13.914728	12.916569	11.922655	10.934852	9.955945	8.989953	8.042340	7.119793	6.229188	5.375796	4.561657	3.785409	3.043806	2.333773	1.653895	1.004971	0.389720	-2.940614	-0.726989	-1.226674	-1.691413	-2.127447	-2.541482	-2.939380	-3.325667	-3.703594	-4.075412	-4.442664	-4.806408	-5.167384	-5.526117	-5.882992	-6.238295	-6.592247	-6.945022	-7.296761	-7.647579	-7.997573	-8.346826	-8.695410	-9.043388	-9.390813	-9.737737	-10.084203	-10.430250	-10.775916	-11.121232	-11.466229	-11.810934	-12.155371	-12.499564	-12.843534	-13.187299	-13.530876	-13.874283	-14.217534	-14.560642	-14.903619	-15.246478	-15.589227	-15.931877	-16.274436	-16.616913	-16.959314	-17.301646	-17.643916	-17.986128	-18.328287	-18.670400	-19.012468	-19.354497	-19.696490	-20.038450	-20.380380	-20.722283	-21.064161	-21.406016	-21.747850	-22.089666	-22.431464	-22.773247	-23.115016	-23.456771	-23.798515	-24.140248	-24.481971	-24.823686	-25.165392	-25.507091	-25.848783	-26.190469	-26.532149	-26.873824	-27.215495	-27.557161	-27.898824	-28.240483	
-2.408240	103.171080	101.936639	100.702198	99.467758	98.233317	96.998877	95.764436	94.529996	93.295555	92.061115	90.826674	89.592234	88.357793	87.123353	85.888912	84.654472	83.420031	82.185591	80.951151	79.716710	78.482270	77.247830	76.013390	74.778951	73.544511	72.310071	71.075632	69.841193	68.606755	67.372317	66.137879	64.903442	63.669005	62.434570	61.200135	59.965702	58.731270	57.496840	56.262413	55.027988	53.793566	52.559149	51.324736	50.090329	48.855930	47.621539	46.387160	45.152793	43.918443	42.684112	41.449806	40.215530	38.981291	37.747098	36.512962	35.278896	34.044917	32.811047	31.577314	30.343751	29.110402	27.877323	26.644586	25.412282	24.180529	22.949482	21.719341	20.490371	19.262920	18.037457	16.814616	15.595268	14.380635	13.172461	11.973288	10.786879	9.618794	8.476990	7.371894	6.314972	5.315250	4.375655	3.492692	2.660022	1.872768	1.129968	0.434689	-3.413318	-0.796503	-1.333660	-1.828847	-2.293107	-2.736116	-3.164961	-3.584356	-3.997311	-4.405735	-4.810854	-5.213483	-5.614176	-6.013326	-6.411223	-6.808083	-7.204076	-7.599332	-7.993961	-8.388047	-8.781662	-9.174866	-9.567708	-9.960228	-10.352462	-10.744440	-11.136187	-11.527723	-11.919068	-12.310237	-12.701243	-13.092099	-13.482814	-13.873397	-14.263855	-14.654197	-15.044426	-15.434549	-15.824571	-16.214494	-16.604323	-16.994062	-17.383712	-17.773277	-18.162758	-18.552159	-18.941481	-19.330726	-19.719895	-20.108990	-20.498014	-20.886966	-21.275849	-21.664663	-22.053410	-22.442091	-22.830707	-23.219259	-23.607748	-23.996175	-24.384541	-24.772847	-25.161094	-25.549283	-25.937414	-26.325489	-26.713509	-27.101474	-27.489384	-27.877242	-28.265047	-28.652801	-29.040505	-29.428158	-29.815763	-30.203319	-30.590828	-30.978290	-31.365706	-31.753077	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

