Scale	'-25.000000	'-24.700000	'-24.400000	'-24.100000	'-23.800000	'-23.500000	'-23.200000	'-22.900000	'-22.600000	'-22.300000	'-22.000000	'-21.700000	'-21.400000	'-21.100000	'-20.800000	'-20.500000	'-20.200000	'-19.900000	'-19.600000	'-19.300000	'-19.000000	'-18.700000	'-18.400000	'-18.100000	'-17.800000	'-17.500000	'-17.200000	'-16.900000	'-16.600000	'-16.300000	'-16.000000	'-15.700000	'-15.400000	'-15.100000	'-14.800000	'-14.500000	'-14.200000	'-13.900000	'-13.600000	'-13.300000	'-13.000000	'-12.700000	'-12.400000	'-12.100000	'-11.800000	'-11.500000	'-11.200000	'-10.900000	'-10.600000	'-10.300000	'-10.000000	'-9.700000	'-9.400000	'-9.100000	'-8.800000	'-8.500000	'-8.200000	'-7.900000	'-7.600000	'-7.300000	'-7.000000	'-6.700000	'-6.400000	'-6.100000	'-5.800000	'-5.500000	'-5.200000	'-4.900000	'-4.600000	'-4.300000	'-4.000000	'-3.700000	'-3.400000	'-3.100000	'-2.800000	'-2.500000	'-2.200000	'-1.900000	'-1.600000	'-1.300000	'-1.000000	'-0.700000	'-0.400000	'-0.100000	'0.200000	'0.500000	'0.800000	'1.100000	'1.400000	'1.700000	'2.000000	'2.300000	'2.600000	'2.900000	'3.200000	'3.500000	'3.800000	'4.100000	'4.400000	'4.700000	'5.000000	'5.300000	'5.600000	'5.900000	'6.200000	'6.500000	'6.800000	'7.100000	'7.400000	'7.700000	'8.000000	'8.300000	'8.600000	'8.900000	'9.200000	'9.500000	'9.800000	'10.100000	'10.400000	'10.700000	'11.000000	'11.300000	'11.600000	'11.900000	'12.200000	'12.500000	'12.800000	'13.100000	'13.400000	'13.700000	'14.000000	'14.300000	'14.600000	'14.900000	'15.200000	'15.500000	'15.800000	'16.100000	'16.400000	'16.700000	'17.000000	'17.300000	'17.600000	'17.900000	'18.200000	'18.500000	'18.800000	'19.100000	'19.400000	'19.700000	'20.000000	'20.300000	'20.600000	'20.900000	'21.200000	'21.500000	'21.800000	'22.100000	'22.400000	'22.700000	'23.000000	'23.300000	'23.600000	'23.900000	'24.200000	'24.500000	'24.800000	
-0.602060	16.613895	16.416462	16.219073	16.021727	15.824427	15.627173	15.429969	15.232815	15.035712	14.838664	14.641671	14.444736	14.247860	14.051046	13.854295	13.657610	13.460994	13.264448	13.067975	12.871578	12.675259	12.479021	12.282867	12.086800	11.890822	11.694938	11.499150	11.303462	11.107877	10.912399	10.717032	10.521779	10.326645	10.131634	9.936750	9.741997	9.547381	9.352905	9.158576	8.964397	8.770374	8.576512	8.382817	8.189295	7.995950	7.802789	7.609819	7.417044	7.224471	7.032108	6.839959	6.648032	6.456333	6.264870	6.073649	5.882676	5.691960	5.501506	5.311322	5.121414	4.931791	4.742457	4.553422	4.364690	4.176269	3.988165	3.800384	3.612934	3.425818	3.239045	3.052618	2.866543	2.680824	2.495467	2.310476	2.125854	1.941605	1.757732	1.574237	1.391123	1.208391	1.026043	0.844080	0.662501	0.481307	0.300497	0.120070	-0.688779	-0.239641	-0.418929	-0.597843	-0.776386	-0.954561	-1.132373	-1.309825	-1.486923	-1.663671	-1.840074	-2.016140	-2.191872	-2.367277	-2.542361	-2.717131	-2.891593	-3.065754	-3.239620	-3.413199	-3.586496	-3.759520	-3.932276	-4.104772	-4.277015	-4.449011	-4.620767	-4.792290	-4.963587	-5.134664	-5.305528	-5.476184	-5.646640	-5.816901	-5.986974	-6.156863	-6.326576	-6.496117	-6.665492	-6.834706	-7.003765	-7.172673	-7.341435	-7.510057	-7.678542	-7.846896	-8.015122	-8.183224	-8.351208	-8.519076	-8.686832	-8.854481	-9.022026	-9.189469	-9.356815	-9.524067	-9.691228	-9.858300	-10.025287	-10.192191	-10.359016	-10.525763	-10.692435	-10.859035	-11.025565	-11.192027	-11.358424	-11.524757	-11.691028	-11.857240	-12.023394	-12.189492	-12.355536	-12.521528	-12.687469	-12.853360	-13.019204	-13.185002	-13.350754	-13.516464	
-0.903090	25.198890	24.900847	24.602847	24.304890	24.006978	23.709112	23.411293	23.113523	22.815801	22.518130	22.220512	21.922946	21.625435	21.327980	21.030584	20.733246	20.435970	20.138757	19.841608	19.544527	19.247514	18.950573	18.653705	18.356914	18.060201	17.763570	17.467023	17.170563	16.874195	16.577921	16.281745	15.985672	15.689705	15.393849	15.098108	14.802489	14.506996	14.211635	13.916413	13.621335	13.326410	13.031644	12.737046	12.442625	12.148389	11.854348	11.560512	11.266894	10.973504	10.680355	10.387460	10.094834	9.802491	9.510447	9.218718	8.927323	8.636280	8.345608	8.055327	7.765459	7.476025	7.187049	6.898553	6.610562	6.323101	6.036195	5.749870	5.464151	5.179065	4.894637	4.610892	4.327855	4.045551	3.764002	3.483230	3.203256	2.924097	2.645771	2.368292	2.091672	1.815920	1.541044	1.267048	0.993933	0.721697	0.450338	0.179847	-1.104593	-0.358569	-0.626521	-0.893656	-1.159993	-1.425552	-1.690355	-1.954425	-2.217786	-2.480462	-2.742478	-3.003861	-3.264635	-3.524827	-3.784462	-4.043565	-4.302161	-4.560274	-4.817927	-5.075143	-5.331943	-5.588349	-5.844380	-6.100056	-6.355396	-6.610416	-6.865132	-7.119562	-7.373718	-7.627616	-7.881268	-8.134687	-8.387885	-8.640871	-8.893657	-9.146252	-9.398665	-9.650905	-9.902979	-10.154895	-10.406660	-10.658280	-10.909762	-11.161111	-11.412332	-11.663431	-11.914412	-12.165280	-12.416038	-12.666691	-12.917243	-13.167696	-13.418055	-13.668321	-13.918499	-14.168590	-14.418598	-14.668525	-14.918372	-15.168143	-15.417840	-15.667463	-15.917017	-16.166501	-16.415918	-16.665269	-16.914557	-17.163782	-17.412946	-17.662050	-17.911096	-18.160085	-18.409019	-18.657897	-18.906723	-19.155495	-19.404217	-19.652888	-19.901511	-20.150084	
-1.204120	33.110779	32.721691	32.332651	31.943661	31.554720	31.165831	30.776995	30.388213	29.999486	29.610816	29.222203	28.833651	28.445159	28.056730	27.668365	27.280067	26.891836	26.503675	26.115585	25.727569	25.339628	24.951765	24.563983	24.176282	23.788667	23.401138	23.013700	22.626355	22.239105	21.851954	21.464905	21.077962	20.691127	20.304405	19.917800	19.531314	19.144954	18.758723	18.372626	17.986668	17.600855	17.215191	16.829684	16.444339	16.059162	15.674162	15.289345	14.904720	14.520294	14.136077	13.752079	13.368310	12.984781	12.601503	12.218490	11.835753	11.453309	11.071171	10.689357	10.307883	9.926768	9.546033	9.165698	8.785787	8.406323	8.027331	7.648841	7.270880	6.893479	6.516670	6.140489	5.764970	5.390152	5.016073	4.642773	4.270296	3.898683	3.527979	3.158227	2.789472	2.421759	2.055131	1.689630	1.325298	0.962172	0.600289	0.239680	-1.576517	-0.477601	-0.834229	-1.189494	-1.543388	-1.895905	-2.247047	-2.596821	-2.945240	-3.292320	-3.638085	-3.982559	-4.325774	-4.667764	-5.008564	-5.348215	-5.686755	-6.024229	-6.360677	-6.696145	-7.030674	-7.364307	-7.697086	-8.029053	-8.360247	-8.690708	-9.020471	-9.349573	-9.678047	-10.005927	-10.333242	-10.660022	-10.986294	-11.312085	-11.637419	-11.962320	-12.286808	-12.610905	-12.934630	-13.258000	-13.581034	-13.903748	-14.226155	-14.548272	-14.870111	-15.191684	-15.513005	-15.834083	-16.154931	-16.475558	-16.795973	-17.116186	-17.436205	-17.756039	-18.075696	-18.395181	-18.714504	-19.033670	-19.352686	-19.671558	-19.990292	-20.308892	-20.627366	-20.945717	-21.263951	-21.582072	-21.900085	-22.217993	-22.535802	-22.853514	-23.171134	-23.488665	-23.806112	-24.123476	-24.440761	-24.757971	-25.075108	-25.392175	-25.709174	-26.026110	
-1.505150	44.093919	43.565259	43.036626	42.508024	41.979454	41.450919	40.922421	40.393963	39.865549	39.337180	38.808862	38.280597	37.752390	37.224245	36.696167	36.168160	35.640231	35.112385	34.584629	34.056970	33.529414	33.001971	32.474648	31.947456	31.420404	30.893503	30.366765	29.840202	29.313829	28.787660	28.261711	27.735999	27.210542	26.685360	26.160474	25.635907	25.111683	24.587829	24.064371	23.541340	23.018767	22.496687	21.975134	21.454146	20.933763	20.414028	19.894984	19.376678	18.859159	18.342475	17.826681	17.311829	16.797975	16.285176	15.773489	15.262974	14.753689	14.245694	13.739048	13.233811	12.730039	12.227792	11.727123	11.228087	10.730737	10.235122	9.741292	9.249291	8.759164	8.270952	7.784695	7.300432	6.818197	6.338028	5.859956	5.384016	4.910241	4.438662	3.969313	3.502227	3.037436	2.574975	2.114878	1.657178	1.201910	0.749106	0.298800	-2.101412	-0.594208	-1.036860	-1.476920	-1.914378	-2.349231	-2.781484	-3.211154	-3.638267	-4.062858	-4.484976	-4.904678	-5.322032	-5.737116	-6.150015	-6.560821	-6.969632	-7.376550	-7.781681	-8.185128	-8.587000	-8.987398	-9.386427	-9.784185	-10.180766	-10.576261	-10.970757	-11.364335	-11.757070	-12.149032	-12.540289	-12.930900	-13.320923	-13.710408	-14.099403	-14.487951	-14.876093	-15.263864	-15.651298	-16.038425	-16.425272	-16.811864	-17.198223	-17.584371	-17.970326	-18.356105	-18.741723	-19.127195	-19.512533	-19.897749	-20.282853	-20.667855	-21.052763	-21.437586	-21.822330	-22.207002	-22.591608	-22.976153	-23.360643	-23.745082	-24.129474	-24.513822	-24.898131	-25.282403	-25.666642	-26.050849	-26.435027	-26.819179	-27.203307	-27.587411	-27.971495	-28.355559	-28.739606	-29.123636	-29.507650	-29.891650	-30.275637	-30.659611	-31.043574	-31.427527	
-1.806180	74.881511	73.982933	73.084354	72.185776	71.287198	70.388620	69.490042	68.591464	67.692886	66.794308	65.895729	64.997151	64.098573	63.199995	62.301417	61.402839	60.504261	59.605683	58.707104	57.808526	56.909948	56.011370	55.112792	54.214214	53.315636	52.417057	51.518479	50.619901	49.721323	48.822745	47.924167	47.025589	46.127011	45.228432	44.329854	43.431276	42.532698	41.634120	40.735542	39.836964	38.938386	38.039807	37.141229	36.242651	35.344073	34.445495	33.546917	32.648339	31.749761	30.851182	29.952604	29.054026	28.155448	27.256870	26.358292	25.459714	24.561136	23.662558	22.763980	21.865402	20.966824	20.068247	19.169672	18.271098	17.372529	16.473968	15.575425	14.676916	13.778477	12.880179	11.982169	11.084751	10.188554	9.294877	8.406379	7.528318	6.670382	5.847887	5.078764	4.373766	3.728079	3.125684	2.550211	1.990458	1.440174	0.896216	0.357090	-2.682711	-0.709052	-1.236518	-1.760350	-2.280571	-2.797189	-3.310210	-3.819644	-4.325512	-4.827844	-5.326690	-5.822117	-6.314208	-6.803068	-7.288818	-7.771595	-8.251549	-8.728841	-9.203638	-9.676111	-10.146432	-10.614769	-11.081286	-11.546140	-12.009481	-12.471450	-12.932175	-13.391777	-13.850367	-14.308046	-14.764904	-15.221024	-15.676481	-16.131341	-16.585664	-17.039504	-17.492907	-17.945918	-18.398574	-18.850909	-19.302952	-19.754732	-20.206271	-20.657592	-21.108713	-21.559651	-22.010421	-22.461037	-22.911512	-23.361856	-23.812079	-24.262189	-24.712196	-25.162105	-25.611923	-26.061657	-26.511310	-26.960890	-27.410398	-27.859841	-28.309220	-28.758541	-29.207804	-29.657014	-30.106173	-30.555283	-31.004347	-31.453366	-31.902342	-32.351277	-32.800173	-33.249031	-33.697852	-34.146638	-34.595390	-35.044109	-35.492796	-35.941452	-36.390078	-36.838675	
-2.107210	85.847319	84.817152	83.786984	82.756817	81.726649	80.696482	79.666314	78.636147	77.605979	76.575812	75.545645	74.515478	73.485312	72.455145	71.424979	70.394812	69.364647	68.334481	67.304316	66.274152	65.243988	64.213824	63.183662	62.153501	61.123340	60.093181	59.063024	58.032868	57.002715	55.972564	54.942416	53.912272	52.882133	51.851998	50.821869	49.791747	48.761633	47.731529	46.701436	45.671357	44.641293	43.611249	42.581226	41.551229	40.521262	39.491332	38.461444	37.431605	36.401826	35.372115	34.342486	33.312952	32.283531	31.254242	30.225108	29.196156	28.167417	27.138928	26.110732	25.082878	24.055424	23.028434	22.001986	20.976165	19.951074	18.926825	17.903551	16.881407	15.860576	14.841288	13.823847	12.808699	11.796554	10.788647	9.787251	8.796602	7.824371	6.883079	5.989143	5.156279	4.386226	3.667596	2.984441	2.323881	1.677910	1.042188	0.414520	-3.319770	-0.820322	-1.428173	-2.029757	-2.625051	-3.214008	-3.796590	-4.372788	-4.942641	-5.506249	-6.063779	-6.615462	-7.161590	-7.702504	-8.238580	-8.770213	-9.297807	-9.821757	-10.342444	-10.860225	-11.375428	-11.888354	-12.399270	-12.908414	-13.415998	-13.922205	-14.427197	-14.931115	-15.434080	-15.936198	-16.437561	-16.938248	-17.438329	-17.937865	-18.436907	-18.935503	-19.433692	-19.931510	-20.428988	-20.926155	-21.423035	-21.919649	-22.416019	-22.912160	-23.408091	-23.903824	-24.399373	-24.894750	-25.389967	-25.885032	-26.379956	-26.874746	-27.369411	-27.863958	-28.358393	-28.852723	-29.346955	-29.841092	-30.335141	-30.829106	-31.322992	-31.816803	-32.310543	-32.804215	-33.297824	-33.791372	-34.284863	-34.778300	-35.271686	-35.765022	-36.258312	-36.751559	-37.244763	-37.737928	-38.231056	-38.724148	-39.217206	-39.710232	-40.203227	-40.696194	
-2.408240	104.083524	102.834697	101.585879	100.337071	99.088274	97.839488	96.590715	95.341954	94.093208	92.844476	91.595760	90.347061	89.098379	87.849716	86.601073	85.352452	84.103853	82.855279	81.606730	80.358208	79.109715	77.861253	76.612824	75.364430	74.116073	72.867755	71.619479	70.371247	69.123063	67.874928	66.626847	65.378822	64.130857	62.882956	61.635123	60.387361	59.139675	57.892070	56.644551	55.397123	54.149792	52.902564	51.655445	50.408442	49.161562	47.914813	46.668204	45.421743	44.175441	42.929308	41.683355	40.437596	39.192045	37.946718	36.701631	35.456807	34.212266	32.968036	31.724148	30.480637	29.237546	27.994927	26.752841	25.511364	24.270588	23.030627	21.791624	20.553756	19.317247	18.082381	16.849523	15.619147	14.391884	13.168622	11.950691	10.740308	9.541568	8.362572	7.219093	6.137155	5.144670	4.248955	3.429250	2.657099	1.912641	1.185476	0.470739	-4.013941	-0.929172	-1.615952	-2.294479	-2.965034	-3.627900	-4.283395	-4.931881	-5.573768	-6.209500	-6.839549	-7.464393	-8.084508	-8.700351	-9.312356	-9.920925	-10.526422	-11.129179	-11.729489	-12.327615	-12.923785	-13.518202	-14.111043	-14.702461	-15.292594	-15.881558	-16.469459	-17.056388	-17.642425	-18.227642	-18.812102	-19.395862	-19.978972	-20.561478	-21.143420	-21.724835	-22.305757	-22.886215	-23.466238	-24.045851	-24.625077	-25.203938	-25.782454	-26.360642	-26.938520	-27.516104	-28.093407	-28.670445	-29.247229	-29.823771	-30.400083	-30.976176	-31.552058	-32.127740	-32.703229	-33.278535	-33.853665	-34.428626	-35.003426	-35.578071	-36.152566	-36.726919	-37.301134	-37.875218	-38.449174	-39.023009	-39.596725	-40.170329	-40.743824	-41.317213	-41.890502	-42.463692	-43.036789	-43.609795	-44.182713	-44.755547	-45.328298	-45.900971	-46.473568	-47.046091	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

